,Unnamed: 0,City,Zip Code,Walk Score,Transit Score,Bike Score,Population,State,Walkability,Public Transportation,Bikeability
1410,37,White Bear Lake,,34,0,46,23797,MN,Car Dependent,Minimal,Somewhat Bikeable
1411,38,Chaska,,21,0,42,23770,MN,Car Dependent,Minimal,Somewhat Bikeable
1412,39,Ramsey,,8,0,42,23668,MN,Car Dependent,Minimal,Somewhat Bikeable
1413,40,Faribault,,28,0,45,23352,MN,Car Dependent,Minimal,Somewhat Bikeable
1414,41,Champlin,55316.0,19,0,51,23089,MN,Car Dependent,Minimal,Bikeable
1415,42,Elk River,,15,0,33,22974,MN,Car Dependent,Minimal,Somewhat Bikeable
1416,43,Chanhassen,55317.0,15,0,48,22952,MN,Car Dependent,Minimal,Somewhat Bikeable
1417,44,Prior Lake,,14,0,43,22796,MN,Car Dependent,Minimal,Somewhat Bikeable
1418,45,Hastings,,31,0,43,22172,MN,Car Dependent,Minimal,Somewhat Bikeable
1419,46,Crystal,,43,30,52,22151,MN,Car Dependent,Some Transit,Bikeable
1420,47,Rosemount,,21,0,43,21874,MN,Car Dependent,Minimal,Somewhat Bikeable
1421,48,New Brighton,,32,31,45,21456,MN,Car Dependent,Some Transit,Somewhat Bikeable
1422,49,Farmington,,19,0,41,21086,MN,Car Dependent,Minimal,Somewhat Bikeable
1423,50,Golden Valley,,28,31,53,20371,MN,Car Dependent,Some Transit,Bikeable
1424,51,New Hope,,42,28,51,20339,MN,Car Dependent,Some Transit,Bikeable
1425,52,Lino Lakes,,8,0,38,20216,MN,Car Dependent,Minimal,Somewhat Bikeable
1426,53,South St. Paul,55075.0,38,34,40,20160,MN,Car Dependent,Some Transit,Somewhat Bikeable
1427,54,Northfield,,29,0,51,20007,MN,Car Dependent,Minimal,Bikeable
1428,55,Willmar,,34,0,53,19610,MN,Car Dependent,Minimal,Bikeable
1429,56,West St. Paul,,45,37,47,19540,MN,Car Dependent,Some Transit,Somewhat Bikeable
1430,57,Columbia Heights,,53,39,51,19496,MN,Somewhat Walkable,Some Transit,Bikeable
1431,58,Forest Lake,,17,0,38,18375,MN,Car Dependent,Minimal,Somewhat Bikeable
1432,59,Stillwater,,33,0,43,18225,MN,Car Dependent,Minimal,Somewhat Bikeable
1433,60,Albert Lea,,29,0,43,18016,MN,Car Dependent,Minimal,Somewhat Bikeable
1434,61,Hopkins,,57,34,71,17591,MN,Somewhat Walkable,Some Transit,Very Bikeable
1435,62,Anoka,,40,25,55,17142,MN,Car Dependent,Some Transit,Bikeable
1436,0,Jackson,39212.0,28,20,38,173514,MS,Car Dependent,Minimal,Somewhat Bikeable
1437,1,Gulfport,39501.0,23,0,41,67793,MS,Car Dependent,Minimal,Somewhat Bikeable
1438,2,Southaven,38671.0,17,0,30,48982,MS,Car Dependent,Minimal,Somewhat Bikeable
