Job Title,Company,Location,Posting Date,Extract Date,Summary,Salary,Job Url
Senior Accountant,Childress Klein,"Charlotte, NC",30+ days ago,2021-03-23,This positionwill partner with team members and senior leadershipto ensure the efficient operation of the accounting department.,,https://www.indeed.com/rc/clk?jk=e8934e1168d9ca5a&fccid=9b5266006632af9e&vjs=3
Senior Fund Accountant,Horseshoe Global,"Charlotte, NC",12 days ago,2021-03-23,Overall responsibility for providing fund administration services to a portfolio of alternative investment fund clients including hedge funds and private equity…,,https://www.indeed.com/company/Horseshoe-Global/jobs/Senior-Fund-Accountant-d22335686d8e4df4?fccid=53f1c4c0c282f796&vjs=3
Sr. Accountant,"JELD-WEN, inc","Charlotte, NC",6 days ago,2021-03-23,"As a valued member of the corporate accounting team, the Financial Accountant will be part of a team responsible for accurate and timely accounting and…",,https://www.indeed.com/rc/clk?jk=1feaf0588619150d&fccid=898ccbeb1f000013&vjs=3
SENIOR ACCOUNTANT,CABARRUS COUNTY,"Cabarrus County, NC",30+ days ago,2021-03-23,"Prepares various reports, audit work papers, exhibits, schedules and notes for the Comprehensive Annual Financial Report (CAFR).",,https://www.indeed.com/rc/clk?jk=62cb75daa9592244&fccid=d38d6b1b38a7d157&vjs=3
"Senior Accountant - Charlotte, NC",Dentsply Sirona,"Charlotte, NC",22 days ago,2021-03-23,"Dentsply Sirona’s products provide innovative, high-quality and effective solutions to advance patient care and deliver better and safer dentistry.",,https://www.indeed.com/rc/clk?jk=85b3e39701b915e2&fccid=bb44f58e3327622b&vjs=3
"Senior Accountant - Charlotte, NC",Dentsply Sirona,"Charlotte, NC",22 days ago,2021-03-23,"Dentsply Sirona’s products provide innovative, high-quality and effective solutions to advance patient care and deliver better and safer dentistry.",,https://www.indeed.com/rc/clk?jk=85b3e39701b915e2&fccid=bb44f58e3327622b&vjs=3
Senior Benefits Accountant,Kindred At Home,"Mooresville, NC",4 days ago,2021-03-23,"Targeted personal and career development planning.
Our team delivers compassionate, high-quality care to patients in their homes or places of residence,…",,https://www.indeed.com/rc/clk?jk=b45fae42f7e72c48&fccid=8b58f624dd8a5548&vjs=3
Senior Accountant,American & Efird LLC,"Charlotte, NC",27 days ago,2021-03-23,"The Senior Accountant will help lead other accountants responsible for month-end financial close processes.
Preparing accounting schedules and reconciliations…",,https://www.indeed.com/rc/clk?jk=09acbf63f2396b51&fccid=6be49fd59ab1e679&vjs=3
Senior Accountant,MediaCo Holding Inc.,"Charlotte, NC",30+ days ago,2021-03-23,"Knowledge of generally accepted accounting principles required.
Provides oversight of company purchase card program.
Must be very detailed-oriented.",,https://www.indeed.com/rc/clk?jk=97d0a50afe641218&fccid=042100fb0d6fd6a8&vjs=3
Senior PE Fund Accountant and Client Service Manager – VP,Apex Fund Services Limited,"Charlotte, NC",30+ days ago,2021-03-23,We are looking for highly motivated individuals with a particular focus on attention to detail and service standards.,,https://www.indeed.com/rc/clk?jk=cfb16cac95ee8df1&fccid=b00f047383293814&vjs=3
Senior Property Accountant,Colliers International,"Charlotte, NC",30+ days ago,2021-03-23,This position accounts for customers who require more complex accrual or GAAP basis financial accounting with complex financial reporting requirements.,,https://www.indeed.com/rc/clk?jk=9ceed6b488872bf8&fccid=1a9a1146f8fe1ec1&vjs=3
Senior Accountant,ServiceMac,"Indian Land, SC",30+ days ago,2021-03-23,"Strong organizational skills and attention to detail in preparing schedules including reconciliations.
All offers of employment with ServiceMac are contingent…",,https://www.indeed.com/rc/clk?jk=08c1f4f44bfc1d3a&fccid=235390cdf05f26b1&vjs=3
