Job Title,Company,Location,Posting Date,Extract Date,Summary,Salary,Job Url
Senior Oracle Data Integrator Cloud Service,Capgemini,"Atlanta, GA",Today,2021-03-23,"Looking for a very strong ODICS resource with subject matter expertise and multiple project experience in configuration, high volume Data extraction,…",,https://www.indeed.com/rc/clk?jk=85130656b97f949b&fccid=105ecfd0283f415f&vjs=3
Senior Data Scientist - Defense Analytics,McKinsey & Company,"Atlanta, GA",5 days ago,2021-03-23,"You will use math, stats and machine learning to derive key insights across various topics within defense and security.
SECRET or TS/SCI clearance is a plus.",,https://www.indeed.com/rc/clk?jk=dae419aa3239ec91&fccid=6576e7250aa78c3c&vjs=3
Statistician,Centers for Disease Control and Prevention,"Atlanta, GA",5 days ago,2021-03-23,"As a Statistician you will: Develop applications primarily in, but not limited to, the areas of statistical computing, statistical and research office…",,https://www.indeed.com/rc/clk?jk=61e276f9739c5811&fccid=3e901f592b439cea&vjs=3
"Senior Associate, Data Scientist Optimization",KPMG,"Atlanta, GA",4 days ago,2021-03-23,"Develop predictive models using machine learning, natural language, and statistical analysis methods such as classification, time-series analysis, regression,…",,https://www.indeed.com/rc/clk?jk=f419bc6b06a81356&fccid=2dd390c3a48a7ed0&vjs=3
Machine Learning and Data Engineer,Slalom Consulting,"Atlanta, GA",4 days ago,2021-03-23,"Finding deep insights in mountains of data.
Experience collaborating with cross functional teams including data engineers and data scientists to deliver end-to…",,https://www.indeed.com/rc/clk?jk=8fdc035df8b2b6f4&fccid=a321096b9f1b3c50&vjs=3
AI Engineer,Delta,"Atlanta, GA",10 days ago,2021-03-23,Work with a team of engineers and cross-divisionally with our partners to identify and define business problems suitable for artificial Intelligence Actively…,,https://www.indeed.com/rc/clk?jk=4e75fdeea9fa2e4c&fccid=3f721eb1d31080a6&vjs=3
Senior Data Scientist,Honeywell,"Atlanta, GA",30+ days ago,2021-03-23,"Develop data modeling, mining, pattern analysis, data visualization and machine learning solutions to address customer needs.",,https://www.indeed.com/rc/clk?jk=c061b7bc1e3a18e5&fccid=50208b5bf45ee3b8&vjs=3
Robotic Researcher/Scientist - Machine Learning / Deep Learning,Dorabot Inc.,"Peachtree Corners, GA",14 days ago,2021-03-23,Research on novel machine learning and deep learning topics that have high value and impact on academia and industry problems.,,https://www.indeed.com/company/Dorabot-Inc./jobs/Robotic-Researcher-Scientist-303a996ff8c7ff4d?fccid=a7a8cf8af8b74072&vjs=3
Data Scientist,The RiverStone Group,"Atlanta, GA",30+ days ago,2021-03-23,"Strong working knowledge of machine learning/data mining algorithms (deep learning, classification, clustering, etc), experience with Image Analysis/Computer…",,https://www.indeed.com/rc/clk?jk=6b93ecd3954ffeee&fccid=6a3ee93ca85c3d88&vjs=3
Senior Data Analyst,LeasePlan,"Atlanta, GA",5 days ago,2021-03-23,Strong organizational skills Team player – desire to contribute to various projects with ability to develop detailed project plans Ability to assess business…,,https://www.indeed.com/rc/clk?jk=eaff28c94d29aff2&fccid=3dc6137bb6f4119b&vjs=3
Distinguished Data Scientist - Personalization,Verizon,"Alpharetta, GA",26 days ago,2021-03-23,"In this technical lead role, you will use machine learning/deep learning technical expertise and commercial implementation experience in developing and scaling…",,https://www.indeed.com/rc/clk?jk=0fca2e528229e175&fccid=f7029f63fe5c906e&vjs=3
Sr. Healthcare Data Analyst,"Certified Technical Experts, Inc.","Atlanta, GA",30+ days ago,2021-03-23,The Candidate shall conduct rigorous data mining and statistically sound analytical analyses to develop and report high quality actionable and quantitative…,,https://www.indeed.com/rc/clk?jk=71608bdef334f602&fccid=be83185803f9f8e7&vjs=3
Decision Scientist II,Truist Financial,"Atlanta, GA",25 days ago,2021-03-23,2+ years of decision science/analytics project management experience with a diverse project focus and demonstrated results.,,https://www.indeed.com/rc/clk?jk=2cb17f118ff23c5f&fccid=035229327af06091&vjs=3
Data/ETL Test Lead,Capgemini,"Atlanta, GA",30+ days ago,2021-03-23,"5+ years of strong experience in ETL testing, BI Testing.
Strong experience in Database Querying.
Testing experience on Polaris, Snowflake, Databrics, MS SQL…",,https://www.indeed.com/rc/clk?jk=5f2b84e41fde0fd2&fccid=105ecfd0283f415f&vjs=3
Senior Data Scientist,Verusen,"Atlanta, GA",20 days ago,2021-03-23,"As a Data scientist in any position at Verusen, you will be supported by several highly skilled data scientists, including those specializing in NLP.",,https://www.indeed.com/rc/clk?jk=7532d435ba081f84&fccid=4533445e9bf66d49&vjs=3
Azure Data Scientist,Avanade,"Atlanta, GA",14 days ago,2021-03-23,"Highly skilled in statistical analysis, quantitative analytics, forecasting/predictive analytics, deep learning, simulation and optimization algorithms.",,https://www.indeed.com/rc/clk?jk=1d716bae7624b068&fccid=5386281035076fdf&vjs=3
"Senior Data Analyst, BI (QuoteCenter)",Home Depot / THD,"Atlanta, GA",25 days ago,2021-03-23,"35% - Serve as the primary data/analytics resource on a cross-functional product team (work product includes, but not limited to: data mining/query writing;…",,https://www.indeed.com/rc/clk?jk=b5ed7be90f4ed615&fccid=82e58e9861d48566&vjs=3
Data Scientist,Seek Now,"Atlanta, GA",30+ days ago,2021-03-23,"Experience with the application of data science and machine learning algorithms including structured, unstructured, or relational and data mining and machine…",,https://www.indeed.com/rc/clk?jk=435b4e293e798125&fccid=f3318349d9a0a91f&vjs=3
Data Scientist - Data & AI CoE,Avanade,"Atlanta, GA",18 days ago,2021-03-23,"Produce innovative solutions for Avanade's clients driven by exploratory data analysis from complex and high-dimensional datasets, both structured and…",,https://www.indeed.com/rc/clk?jk=85721aaea54a7683&fccid=5386281035076fdf&vjs=3
Statistical Forecast Analyst,Home Depot / THD,"Atlanta, GA",30+ days ago,2021-03-23,"10% Share insights, challenge assumptions and identify drivers of forecast variance with appropriate Replenishment analysts and Management.",,https://www.indeed.com/rc/clk?jk=99d122333d1385fd&fccid=82e58e9861d48566&vjs=3
"Associate, Data Scientist, Optimization",KPMG,"Atlanta, GA",4 days ago,2021-03-23,"Process structured, unstructured and semi-structured data and apply data cleaning, data imputation and feature engineering methods prior to developing models.",,https://www.indeed.com/rc/clk?jk=bcdb90e9e7bc0a88&fccid=2dd390c3a48a7ed0&vjs=3
Senior Data Analyst,SageSure,"Atlanta, GA",14 days ago,2021-03-23,"3+ years of experience in an analytical role (analysis, information science, data visualization or other relevant quantitative fields).",,https://www.indeed.com/rc/clk?jk=003013a3b37ae830&fccid=1a8fb53423be4440&vjs=3
Sr. Healthcare Data Analyst,"Certified Technical Experts, Inc.","Atlanta, GA",30+ days ago,2021-03-23,The Candidate shall conduct rigorous data mining and statistically sound analytical analyses to develop and report high quality actionable and quantitative…,,https://www.indeed.com/rc/clk?jk=71608bdef334f602&fccid=be83185803f9f8e7&vjs=3
"Technology Analyst Program - Cyber, Infrastructure, Data Science, IT Project Management - Alpharetta / Marietta","Fiserv, Inc.","Alpharetta, GA",30+ days ago,2021-03-23,Leading and participating in projects that require advanced data and business analysis skills including best in practice methodologies and modeling.,,https://www.indeed.com/rc/clk?jk=b3e84425279178ae&fccid=1ea0475711674f3b&vjs=3
Lead Data Scientist,Honeywell,"Atlanta, GA",30+ days ago,2021-03-23,"After influencing scope and prioritizing the analytics pipeline, you will lead the technical execution of data science projects directing daily work of junior…",,https://www.indeed.com/rc/clk?jk=43ec3848f274e8b2&fccid=50208b5bf45ee3b8&vjs=3
Senior Associate - Data Science and Analytics,Publicis Sapient,"Atlanta, GA",12 days ago,2021-03-23,"Passion for digital analytics, working with data and deriving insights to solve client business challenges.
Experience with optimization programs and delivering…",,https://www.indeed.com/rc/clk?jk=64d3aa9c1b48fc1d&fccid=1b0043cf80779505&vjs=3
Early Careers | Financial Modeling & Research | Atlanta,Goldman Sachs,"Atlanta, GA",30+ days ago,2021-03-23,"0-3 years of prior work experience in a relevant field.
Accounting and financial planning teams across the firm embody strong analytical skills, attention to…",,https://www.indeed.com/rc/clk?jk=3ae9ee46fbd15ab2&fccid=16a97ed26c75bf2d&vjs=3
Principal Data Scientist (Clinical Data Management),Premier Research,"Atlanta, GA",30+ days ago,2021-03-23,Proven expertise in ICH/GCP and/or ISO14155 requirements; knowledge of site and institution specific contract requirements; clinical trials support or…,,https://www.indeed.com/rc/clk?jk=f6d6b44220de03bf&fccid=ecf3f75dc407062d&vjs=3
"Data Engineer, Operations Decision Science",Delta,"Atlanta, GA",30+ days ago,2021-03-23,Define and execute the data engineering roadmap (e.g. establish an operational data lake and a real-time reporting environment for the operations).,,https://www.indeed.com/rc/clk?jk=f0f4752ce5a2f875&fccid=3f721eb1d31080a6&vjs=3
Data Scientist (100% Remote),CompuGain,"Atlanta, GA",28 days ago,2021-03-23,Ability to offer creative technical solutions to data and analysis problems and ability to clearly articulate designed solutions to fellow data scientists and…,,https://www.indeed.com/rc/clk?jk=21f3904d05156a28&fccid=ff18f364027a8aaa&vjs=3
Senior Data Analyst,Bitcoin Depot,"Atlanta, GA",30+ days ago,2021-03-23,"Develop an understanding of operational processes and data flows pertaining to relevant products and systems.
Bitcoin Depot is seeking a Senior Data Analyst who…",,https://www.indeed.com/rc/clk?jk=ba62e0cdfd25f24e&fccid=fea8b2b81be27766&vjs=3
"Machine Learning Modeler, Growth",Square,"Atlanta, GA",30+ days ago,2021-03-23,"Lead and drive cross functional machine learning/data science projects from beginning to end: build relationships with partner teams, frame and structure…",,https://www.indeed.com/rc/clk?jk=222835bc3688954a&fccid=09abad886b83c501&vjs=3
Machine Learning and Data Engineer,Slalom Consulting,"Atlanta, GA",4 days ago,2021-03-23,"Finding deep insights in mountains of data.
Experience collaborating with cross functional teams including data engineers and data scientists to deliver end-to…",,https://www.indeed.com/rc/clk?jk=8fdc035df8b2b6f4&fccid=a321096b9f1b3c50&vjs=3
Sr. Data Analyst,Spartan Technologies,"Atlanta, GA",7 days ago,2021-03-23,The Data Analyst will work with stakeholders to provide insights into the data for new product offerings and trends in the market.,,https://www.indeed.com/rc/clk?jk=7ecf0d950c06c3de&fccid=d4243aec81760af8&vjs=3
Senior Data Scientist,ketteQ,"Atlanta, GA",30+ days ago,2021-03-23,"Translate key insights, trends and data into actionable recommendations; organize project work into customer presentations, outlining findings and…",,https://www.indeed.com/rc/clk?jk=bfe279ba74c376d0&fccid=3242300b45f49c6e&vjs=3
Data Scientist,OneTrust,"Atlanta, GA",30+ days ago,2021-03-23,"Set the vision for developing complex analytics, data classification and NLP/NLU technologies.
5+ years of relevant experience in designing quantitative models…",,https://www.indeed.com/rc/clk?jk=b5b7ff83d355bafe&fccid=42362110adba23c5&vjs=3
"Data Scientist, Radio & Music Informatics Science",SiriusXM,"Atlanta, GA",30+ days ago,2021-03-23,"Experience designing and building machine learning systems or recommender systems or music information retrieval systems.
Experience with SQL (or equivalent).",,https://www.indeed.com/rc/clk?jk=a02fc4882cdd82bf&fccid=25039f950f78d541&vjs=3
Web and Data Science DevOps,ETI Software Solutions,"Norcross, GA",30+ days ago,2021-03-23,"Building a new data visualization product on the web.
Build ArcGIS Enterprise solutions (big data with maps!
Moving, processing, and storing a lot of data.",,https://www.indeed.com/rc/clk?jk=c33e4ba12812f842&fccid=a2094224978c9e2e&vjs=3
Sr Data Scientist,CEDENT,"Atlanta, GA",30+ days ago,2021-03-23,Minimum of two years of working experience as a data scientist in the payments industry OR a minimum of 3 years of working as a data scientist in banking…,,https://www.indeed.com/rc/clk?jk=3b2c61a5d90a65ae&fccid=2ecf4575019bf07a&vjs=3
Robotic Researcher/Scientist - Machine Learning / Deep Learning,Dorabot Inc.,"Peachtree Corners, GA",Active 3 days ago,2021-03-23,Research on novel machine learning and deep learning topics that have high value and impact on academia and industry problems.,,https://www.indeed.com/company/Dorabot-Inc./jobs/Robotic-Researcher-Scientist-303a996ff8c7ff4d?fccid=a7a8cf8af8b74072&vjs=3
Principal Data Scientist,Anthem,"Atlanta, GA",30+ days ago,2021-03-23,"Experience leading end-to-end data science project implementation.
Principal Data Scientist will lead the development and implementation of machine learning…",,https://www.indeed.com/rc/clk?jk=b9b994e152396ca7&fccid=2a4da7fa99f4b9ae&vjs=3
Senior Manager Data Science - Advanced Analytics,Norfolk Southern Corp,"Atlanta, GA",12 days ago,2021-03-23,"Work Conditions Environment: Office Shift Work: No New Headquarters – Atlanta, GA Norfolk Southern is in the process of constructing a vibrant & modern…",,https://www.indeed.com/rc/clk?jk=f537e13ab58d8217&fccid=2fc6cbacc7119b63&vjs=3
Web and Data Science DevOps,ETI Software Solutions,"Norcross, GA",30+ days ago,2021-03-23,"Building a new data visualization product on the web.
Build ArcGIS Enterprise solutions (big data with maps!
Moving, processing, and storing a lot of data.",,https://www.indeed.com/rc/clk?jk=c33e4ba12812f842&fccid=a2094224978c9e2e&vjs=3
Lead Developer (Data & Machine Learning Products Team),Time Warner,"Atlanta, GA",Just posted,2021-03-23,"As the technical subject matter expert for one or more products or product feature sets, provide leadership among the team building production quality,…",,https://www.indeed.com/rc/clk?jk=8f3e10558d265f64&fccid=1220ad3971071315&vjs=3
Data/ETL Test Lead,Capgemini,"Atlanta, GA",30+ days ago,2021-03-23,"5+ years of strong experience in ETL testing, BI Testing.
Strong experience in Database Querying.
Testing experience on Polaris, Snowflake, Databrics, MS SQL…",,https://www.indeed.com/rc/clk?jk=5f2b84e41fde0fd2&fccid=105ecfd0283f415f&vjs=3
Senior Business Consultant - Data Scientist,TCS,"Atlanta, GA",30+ days ago,2021-03-23,Working closely with Customers for developing project plans and ensure delivery consistent with the project estimates provided.,,https://www.indeed.com/rc/clk?jk=e7c3a0e6cecb6fe3&fccid=c78fdfc4443d4537&vjs=3
"Sales Operations Analyst E, FIS University Program",FIS Global,"Atlanta, GA",11 days ago,2021-03-23,"Analyze data and draw insights to create sales reports for the Executive team, Board, and Sales leaders.
Degree in a quantitative field such as mathematics,…",,https://www.indeed.com/rc/clk?jk=7fc1063c498c2476&fccid=74e36d81c894b4b7&vjs=3
"Director, Data Science - Remote",AMERICAN CANCER SOCIETY,"Atlanta, GA",13 days ago,2021-03-23,"Requires advanced knowledge of data management, statistical analysis, data visualization and software programming.",,https://www.indeed.com/rc/clk?jk=ed25d92d33f74169&fccid=0d26bf2273c73e76&vjs=3
Data Science/Behavioral Analytics Intern,Assurant,"Atlanta, GA",30+ days ago,2021-03-23,"Experience in advanced data analytics and visualization tools including Microsoft Office Suite, Power BI, Django, Flask, TensorFlow.js, etc.",,https://www.indeed.com/rc/clk?jk=5dfb5c0be93a5037&fccid=cc80d5313758adb1&vjs=3
Data Scientist Intern,Cox Automotive,"Atlanta, GA",30+ days ago,2021-03-23,Our data scientists are responsible for leading the development of advanced analytics models to solve our customers’ problems through innovative products and…,,https://www.indeed.com/rc/clk?jk=92ccfa665bb13614&fccid=7e465a3d521b3ac3&vjs=3
"Sr. Project Manager, Decision Science",Delta,"Atlanta, GA",6 days ago,2021-03-23,"Consult within project team and other Delta teams, with outside vendors or consultants to ensure project or product integrity.",,https://www.indeed.com/rc/clk?jk=5d5524fa7b91ca95&fccid=3f721eb1d31080a6&vjs=3
Senior Marketing Data Scientist,Aptean,"Alpharetta, GA",19 days ago,2021-03-23,"A minimum of 5 years in a marketing analytics/data scientist role.
Advanced understanding of data visualization tools such as Power BI, Tableau, etc.",,https://www.indeed.com/rc/clk?jk=b93c0c70ca5a568b&fccid=e94cc8f7a4b69832&vjs=3
AI/ML Research Engineer,Ford Motor Company,"Atlanta, GA",18 days ago,2021-03-23,"Support quick concept development of new and emerging machine and deep learning ideas.
1+ year of experience in application of machine learning algorithms and…",,https://www.indeed.com/rc/clk?jk=e332f5a52cd8cc8f&fccid=761c44c17d636bfe&vjs=3
"Machine Learning Modeler, Growth",Square,"Atlanta, GA",30+ days ago,2021-03-23,"Lead and drive cross functional machine learning/data science projects from beginning to end: build relationships with partner teams, frame and structure…",,https://www.indeed.com/rc/clk?jk=222835bc3688954a&fccid=09abad886b83c501&vjs=3
Senior Data Scientist - Supply Chain,Home Depot / THD,"Atlanta, GA",27 days ago,2021-03-23,"As a Sr. Data Scientist, you will serve as a lead on data science projects, collaborating with project/product managers, providing prioritization of tasks,…",,https://www.indeed.com/rc/clk?jk=bbb19f985836fdf9&fccid=82e58e9861d48566&vjs=3
Principal Data Scientist,Anthem,"Atlanta, GA",30+ days ago,2021-03-23,"Experience leading end-to-end data science project implementation.
Principal Data Scientist will lead the development and implementation of machine learning…",,https://www.indeed.com/rc/clk?jk=b9b994e152396ca7&fccid=2a4da7fa99f4b9ae&vjs=3
Senior Data Analyst,Vimo Inc,"Atlanta, GA",30+ days ago,2021-03-23,"6+ years of relevant work experience in analyzing large datasets and generating insights, building enterprise-ready & customer-facing visualizations, and…",,https://www.indeed.com/rc/clk?jk=a63e54aced2c38aa&fccid=58bee800abeb897d&vjs=3
"Full Stack Developer, Decision Science",Delta,"Atlanta, GA",30+ days ago,2021-03-23,This position will partner with Data Scientists and Data Engineers to operationalize models and deliver insights to the business Take responsibility for…,,https://www.indeed.com/rc/clk?jk=84d867ac52747876&fccid=3f721eb1d31080a6&vjs=3
Director Data Science,Anthem,"Atlanta, GA",1 day ago,2021-03-23,Director Data Science leads a team of data-scientists engaged in development and implementation of machine learning algorithms and techniques to solve business…,,https://www.indeed.com/rc/clk?jk=0cee6f2173f5e15b&fccid=2a4da7fa99f4b9ae&vjs=3
Sr. Data Scientist,Georgia-Pacific,"Atlanta, GA",30+ days ago,2021-03-23,"Experience mentoring associate / junior data scientists (previous leadership experience).
Working closely with business partners and engineers, the Data…",,https://www.indeed.com/rc/clk?jk=92f811d43f1b8bd5&fccid=f6b5ad8b9dfbe57b&vjs=3
Senior Manager Data Science - Advanced Analytics,Norfolk Southern Corp,"Atlanta, GA",12 days ago,2021-03-23,"Work Conditions Environment: Office Shift Work: No New Headquarters – Atlanta, GA Norfolk Southern is in the process of constructing a vibrant & modern…",,https://www.indeed.com/rc/clk?jk=f537e13ab58d8217&fccid=2fc6cbacc7119b63&vjs=3
Lead Data Analyst / Data Scientist / Analytics / BI Consultant,CEDENT,"Atlanta, GA",30+ days ago,2021-03-23,"Minimum three (3) years of academic or relevant work experience with data collection and management, data statistical analysis, and data interpretation…",,https://www.indeed.com/rc/clk?jk=62725598bdbf9652&fccid=2ecf4575019bf07a&vjs=3
Senior Data Engineer,Capgemini,"Atlanta, GA",19 days ago,2021-03-23,"The data integration specialist is an expert with deep understanding of integration technologies and architecture who works to model, execute and manage data…",,https://www.indeed.com/rc/clk?jk=62a308c002f638b6&fccid=105ecfd0283f415f&vjs=3
"Sales Operations Analyst E, FIS University Program",FIS Global,"Atlanta, GA",11 days ago,2021-03-23,"Analyze data and draw insights to create sales reports for the Executive team, Board, and Sales leaders.
Degree in a quantitative field such as mathematics,…",,https://www.indeed.com/rc/clk?jk=7fc1063c498c2476&fccid=74e36d81c894b4b7&vjs=3
"Senior Director/Director, Data Science",Visa,"Atlanta, GA",3 days ago,2021-03-23,"2+ years of experience leading teams of 3+ data scientists in machine learning projects.
2+ years of experience leading teams of 3+ data scientists in machine…",,https://www.indeed.com/rc/clk?jk=418eeb224d6fc468&fccid=a3f737e511d9fc8c&vjs=3
Senior Data Analyst,Agile,"Atlanta, GA",6 days ago,2021-03-23,"Translating data into meaningful insights.
Performing data analysis and validation on various forms of data (e.g. raw data, base data, 3rd party data, metrics).",,https://www.indeed.com/rc/clk?jk=5ac029202b85da80&fccid=72d69a7225c5a959&vjs=3
Senior Marketing Data Scientist,Aptean,"Alpharetta, GA",19 days ago,2021-03-23,"A minimum of 5 years in a marketing analytics/data scientist role.
Advanced understanding of data visualization tools such as Power BI, Tableau, etc.",,https://www.indeed.com/rc/clk?jk=b93c0c70ca5a568b&fccid=e94cc8f7a4b69832&vjs=3
Leidos Data Science Fellows,Leidos,"Atlanta, GA",24 days ago,2021-03-23,Leidos wants to help create the next generation of data scientists who have the data science skills to solve real-world problems and are passionate about…,,https://www.indeed.com/rc/clk?jk=fafba1b8f500f8cd&fccid=8765a4045377753a&vjs=3
Data Analyst III - Fraud Analytics,Cox Communications Inc,"Atlanta, GA",3 days ago,2021-03-23,"Supports the Build, test, and deployment of ML (machine learning), DP (deep learning), AI (artificial intelligence), and NLP (natural language processing)…",,https://www.indeed.com/rc/clk?jk=5317c544b6094717&fccid=c7e6b037b4d816c9&vjs=3
Data Scientist / Engineer - Machine Learning (Experienced) -- EOSL,Georgia Tech Research Institute,"Atlanta, GA",30+ days ago,2021-03-23,"Develop innovative algorithms and apply machine learning/deep learning methods to EW applications such as object detection, object recognition, and time series…",,https://www.indeed.com/rc/clk?jk=6ef749112a495831&fccid=db25687464a9ecf6&vjs=3
Data Engineer,Codoxo,"Atlanta, GA",30+ days ago,2021-03-23,"Experience processing medical claims or related health care data.
Codoxo now has six AI-powered applications that help every department across health insurance…",,https://www.indeed.com/rc/clk?jk=d66cf1b83b0e3666&fccid=88df7112804301b7&vjs=3
"Senior Data Analyst, Transportation Analytics",Home Depot / THD,"Atlanta, GA",8 days ago,2021-03-23,"And operates under minimal supervision and mentorship of more experienced managers and data scientists.
20%-Presents findings in easily understood ways, focuses…",,https://www.indeed.com/rc/clk?jk=b15bb58cb7516b9e&fccid=82e58e9861d48566&vjs=3
Lead Data Scientist (remote),Thrivent,"Atlanta, GA",30+ days ago,2021-03-23,Ensures all automated processes established to improve reusability and overall productivity of data scientists and data analysts.,,https://www.indeed.com/rc/clk?jk=24a67a94094eadf7&fccid=c40fae22b6a11e7d&vjs=3
Data Scientist / Engineer - Machine Learning (Experienced) -- EOSL,Georgia Tech Research Institute,"Atlanta, GA",30+ days ago,2021-03-23,"Develop innovative algorithms and apply machine learning/deep learning methods to EW applications such as object detection, object recognition, and time series…",,https://www.indeed.com/rc/clk?jk=6ef749112a495831&fccid=db25687464a9ecf6&vjs=3
Chief Data Scientist,Seek Now,"Atlanta, GA",Active 11 days ago,2021-03-23,"Experience with the application of data science and machine learning algorithms including structured, unstructured, or relational and data mining and machine…",,https://www.indeed.com/rc/clk?jk=e8425883dc431930&fccid=f3318349d9a0a91f&vjs=3
Lead Data Analyst / Data Scientist / Analytics / BI Consultant,CEDENT,"Atlanta, GA",30+ days ago,2021-03-23,"Minimum three (3) years of academic or relevant work experience with data collection and management, data statistical analysis, and data interpretation…",,https://www.indeed.com/rc/clk?jk=62725598bdbf9652&fccid=2ecf4575019bf07a&vjs=3
"Senior Specialist, Federal Data Scientist",KPMG,"Atlanta, GA",30+ days ago,2021-03-23,"Analyze and model structued data and implement algorithms to support analysis using advanced statistical and mathematical methods from statistics, machine…",,https://www.indeed.com/rc/clk?jk=834f87468b85e539&fccid=2dd390c3a48a7ed0&vjs=3
Senior Data Analyst (Information Technology),Atlanta Public Schools,"Atlanta, GA",30+ days ago,2021-03-23,"The incumbent will foster an analytics culture within Atlanta Public Schools through advocating data-based insights, bolstering data quality oversight and…",,https://www.indeed.com/rc/clk?jk=b5e6d8397de13941&fccid=7cc9cddddb564bb9&vjs=3
Manager of Data Science,Calendly,"Atlanta, GA",30+ days ago,2021-03-23,"Build a team of data scientists to manage complex projects, leading an interdisciplinary team to achieve project goals.
Master’s degree is preferred.",,https://www.indeed.com/rc/clk?jk=dfde29fa020ad451&fccid=88e1dcd0cd0bffc1&vjs=3
"Sales Operations Analyst E, FIS University Program",FIS Global,"Atlanta, GA",11 days ago,2021-03-23,"Analyze data and draw insights to create sales reports for the Executive team, Board, and Sales leaders.
Degree in a quantitative field such as mathematics,…",,https://www.indeed.com/rc/clk?jk=7fc1063c498c2476&fccid=74e36d81c894b4b7&vjs=3
SERVICES SENIOR OPERATIONS DATA ANALYST,Home Depot / THD,"Atlanta, GA",17 days ago,2021-03-23,"Scan business/industry trends; scan competitive landscape; analyze consumer data.
This individual should be an expert in SQL, possess strong data mining skills…",,https://www.indeed.com/rc/clk?jk=da95e9a173d8a918&fccid=82e58e9861d48566&vjs=3
Data Architect,UCB S.A.,"Atlanta, GA",26 days ago,2021-03-23,"Experience with latest analytics tools and technologies (tools, Big Data technologies, ETL (for example, Informatica, SAS DI), database query languages, data…",,https://www.indeed.com/rc/clk?jk=1a4986fad6b11308&fccid=33684b64e937e3af&vjs=3
Senior Cloud Data Engineer,"Serta Simmons Bedding, LLC","Doraville, GA",21 days ago,2021-03-23,"Experience in creating functional and technical designs for data engineering and analytics solutions.
This position will be focused on supporting existing data…",,https://www.indeed.com/rc/clk?jk=f9b020d5a264791e&fccid=9f47810177ecb763&vjs=3
Lead Data Scientist,Novelis Corporate HQ,"Atlanta, GA",30+ days ago,2021-03-23,"Writes reports articulating the analytics insights and their business impacts.
Expert knowledge of data modeling and understanding of different data structures.",,https://www.indeed.com/rc/clk?jk=fa3c2a1bc006b3c6&fccid=935cee81b824e61e&vjs=3
Statistician IV,ORAU,"Atlanta, GA",12 days ago,2021-03-23,"Prepare preliminary interpretations of analyses for sharing with scientific and public audiences, project teams, and/or department management.",,https://www.indeed.com/rc/clk?jk=dec81c4d809c3218&fccid=ff085de14d31bf52&vjs=3
Senior Data Analyst - Capacity Management,Cisco Systems,"Atlanta, GA",30+ days ago,2021-03-23,"Experience using data visualization tools (e.g. Tableau, Power BI).
Demonstrable experience in matching data analysis and business justification.",,https://www.indeed.com/rc/clk?jk=83f569ca8247cd1e&fccid=dfc44f3b8c44a6db&vjs=3
"AI/ML - Annotation Analyst, French Canadian Language",Apple,United States,13 days ago,2021-03-23,"Fluency in the French Canadian language with excellent comprehension, grammar and proofreading skills.
Excellent English reading comprehension and writing…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0COaG2VYStWzzXDu33ILNMYNNKyRkXYA1E-sfa3VIMiABx-37owtfNZIL61m9doSS3j6lg1aWkPu6WHxuuJ7936kF6YobKdqCXmbMmvFCyYKIllV1Asl_IQsC_JttOJj-h6ZNvVURtsoB3kLhYjMC3a8jURNRthmiOH5mLCQn1XBfiAiDNUhNMRMN_ASJqU9vtBdlFYWqpLePC2gPLBhtXxWXeAAszFp39BXC14swDS1Whjr1S7AvSkUakiKlYpiD5VF2OalstbtHQ4cXYrXu2mUNxFmPLjQ1MRUurAQUOfriBll6lsn1DVXK4cF-IJq5rH-lUmGAY5cjKKF1tGR5ZhJqHfbL-SbjbTbfly3rWh1jCPUu-WTXaNYrWgkQqZ5WjL5fV4lMEffXoAqrm9kaAn_UYMvywxe-z7Yz92mP-nxNJOxCExpX7rHIO1vwrlD-poi3F4P3QXpFbCmRtfcIKL6HrpBcRu6dF2_jvabsytar9ZXBYAnNAwKxDCdxBTDhQmgo8PiMJ-NRCOhlyddbBq_Wuwh9U69YOoM4cpxymrlZudVFAry1aEFkO-8vUIeRLMvszM2ggWtIJ5JOmPOaopzq6mmACM3ysRqTLAxXvKn4S90QEGdGQb-jq8LkpOEoNw-twKZGkZMohNmJ8zhOLRV-FEi7nJN2JGLhrN0m3bPotLQbGit-almwdaHeFEf83wx8Tw10LOQAWuBk3DFWvM2WLUGi2drH6jgVlT6i9YgGA7Alcb6ttq_-lrKSI1qp8=&p=14&fvj=1&vjs=3
Senior Data Analyst - Capacity Management,Cisco Systems,"Atlanta, GA",30+ days ago,2021-03-23,"Experience using data visualization tools (e.g. Tableau, Power BI).
Demonstrable experience in matching data analysis and business justification.",,https://www.indeed.com/rc/clk?jk=83f569ca8247cd1e&fccid=dfc44f3b8c44a6db&vjs=3
"Portfolio Architect, Decision Science",Delta,"Atlanta, GA",30+ days ago,2021-03-23,"Responsibilities of the Portfolio Architect Design and develop cloud-based or on-prem services and applications, and lead the implementation of these designs…",,https://www.indeed.com/rc/clk?jk=919600279135c238&fccid=3f721eb1d31080a6&vjs=3
Data Analyst III - Fraud Analytics,Cox Communications Inc,"Atlanta, GA",3 days ago,2021-03-23,"Supports the Build, test, and deployment of ML (machine learning), DP (deep learning), AI (artificial intelligence), and NLP (natural language processing)…",,https://www.indeed.com/rc/clk?jk=5317c544b6094717&fccid=c7e6b037b4d816c9&vjs=3
