"city, state",ds,y
"Daphne, AL",2017,977
"Fairhope, AL",2017,977
"Foley, AL",2017,977
"Anniston, AL",2017,630
"Oxford, AL",2017,630
"Jacksonville, AL",2017,630
"Chilton County, AL",2017,621
"Gadsden, AL",2017,716
"Henry County, AL",2017,621
"Dothan, AL",2017,656
"Florence, AL",2017,673
"Muscle Shoals, AL",2017,673
"Auburn, AL",2017,798
"Opelika, AL",2017,798
"Huntsville, AL",2017,746
"Mobile, AL",2017,892
"Montgomery, AL",2017,822
"Decatur, AL",2017,640
"Pickens County, AL",2017,621
"Columbus, AL",2017,777
"Birmingham, AL",2017,866
"Hoover, AL",2017,866
"Tuscaloosa, AL",2017,782
"Walker County, AL",2017,641
"Anchorage, AK",2017,1293
"Fairbanks, AK",2017,1267
"Matanuska, AK",2017,1041
"Susitna Borough, AK",2017,1041
"Sierra Vista, AZ",2017,747
"Douglas, AZ",2017,747
"Flagstaff, AZ",2017,1037
"Lake Havasu City, AZ",2017,762
"Kingman, AZ",2017,762
"Tucson, AZ",2017,867
"Phoenix, AZ",2017,944
"Mesa, AZ",2017,944
"Scottsdale, AZ",2017,944
"Prescott, AZ",2017,901
"Yuma, AZ",2017,870
"Jonesboro, AR",2017,735
"Memphis, AR",2017,835
"Hot Springs, AR",2017,765
"Grant County, AR",2017,622
"Pine Bluff, AR",2017,659
"Little River County, AR",2017,611
"Texarkana, AR",2017,720
"Poinsett County, AR",2017,632
"Little Rock, AR",2017,814
"North Little Rock, AR",2017,814
"Conway, AR",2017,814
"Fort Smith, AR",2017,679
"Fayetteville, AR",2017,748
"Springdale, AR",2017,748
"Rogers, AR",2017,748
"Chico, CA",2017,923
"Oakland, CA",2017,2173
"Fremont, CA",2017,2173
"Fresno, CA",2017,887
"El Centro, CA",2017,822
"Bakersfield, CA",2017,844
"Hanford, CA",2017,803
"Corcoran, CA",2017,803
"Los Angeles, CA",2017,1545
"Long Beach, CA",2017,1545
"Glendale, CA",2017,1545
"Madera, CA",2017,893
"Merced, CA",2017,776
"Salinas, CA",2017,1417
"Napa, CA",2017,1598
"Santa Ana, CA",2017,1813
"Anaheim, CA",2017,1813
"Irvine, CA",2017,1813
"Sacramento, CA",2017,1036
"Roseville, CA",2017,1036
", CA",2017,1036
"Arden, CA",2017,1036
"Arcade, CA",2017,1036
"San Benito County, CA",2017,1490
"Riverside, CA",2017,1197
"San Bernardino, CA",2017,1197
"Ontario, CA",2017,1197
"San Diego, CA",2017,1741
"Carlsbad, CA",2017,1741
"Stockton, CA",2017,967
"Lodi, CA",2017,967
"San Luis Obispo, CA",2017,1309
"Paso Robles, CA",2017,1309
"Arroyo Grande, CA",2017,1309
"San Francisco, CA",2017,3018
"Santa Maria, CA",2017,1555
"Santa Barbara, CA",2017,1555
"San Jose, CA",2017,2220
"Sunnyvale, CA",2017,2220
"Santa Clara, CA",2017,2220
"Santa Cruz, CA",2017,1828
"Watsonville, CA",2017,1828
"Redding, CA",2017,892
"Vallejo, CA",2017,1294
"Fairfield, CA",2017,1294
"Santa Rosa, CA",2017,1572
"Modesto, CA",2017,938
"Visalia, CA",2017,873
"Porterville, CA",2017,873
"Oxnard, CA",2017,1762
"Thousand Oaks, CA",2017,1762
"Ventura, CA",2017,1762
"Yolo, CA",2017,1175
"Yuba City, CA",2017,886
"Boulder, CO",2017,1240
"Colorado Springs, CO",2017,950
"Fort Collins, CO",2017,996
"Grand Junction, CO",2017,799
"Denver, CO",2017,1305
"Aurora, CO",2017,1305
"Lakewood, CO",2017,1305
"Pueblo, CO",2017,802
"Teller County, CO",2017,1003
"Greeley, CO",2017,897
"Danbury, CT",2017,1377
"Bridgeport, CT",2017,1243
"Stamford, CT",2017,1958
"Norwalk, CT",2017,1958
"Southern Middlesex County, CT",2017,1367
"Milford, CT",2017,1295
"Ansonia, CT",2017,1295
"Seymour, CT",2017,1295
"Waterbury, CT",2017,994
