,metro_code,areaname,state_alpha,2017,2018,2019,2020,2021,"city, state"
2417,METRO37980M37980,Philadelphia,PA,845,883,840,864,900,"Philadelphia, PA"
2418,METRO37980M37980,Camden,PA,845,883,840,864,900,"Camden, PA"
2419,METRO37980M37980,Wilmington,PA,845,883,840,864,900,"Wilmington, PA"
2420,METRO35620MM5660,Pike County,PA,726,919,906,982,1034,"Pike County, PA"
2422,METRO38300M38300,Pittsburgh,PA,566,621,647,661,714,"Pittsburgh, PA"
2423,METRO42540M42540,Scranton,PA,553,580,541,566,590,"Scranton, PA"
2424,METRO42540M42540,,PA,553,580,541,566,590,", PA"
2425,METRO42540M42540,Wilkes,PA,553,580,541,566,590,"Wilkes, PA"
2426,METRO42540M42540,Barre,PA,553,580,541,566,590,"Barre, PA"
2427,METRO49620M49620,York,PA,570,612,611,634,639,"York, PA"
2428,METRO49620M49620,Hanover,PA,570,612,611,634,639,"Hanover, PA"
2455,METRO39300N44005,Newport,RI,780,831,918,978,1027,"Newport, RI"
2456,METRO39300N44005,Middleton,RI,780,831,918,978,1027,"Middleton, RI"
2457,METRO39300N44005,Portsmouth,RI,780,831,918,978,1027,"Portsmouth, RI"
2508,METRO39300M39300,Providence,RI,732,748,786,794,848,"Providence, RI"
2509,METRO39300M39300,Fall River,RI,732,748,786,794,848,"Fall River, RI"
2510,METRO39300MM5520,Westerly,RI,825,851,864,843,927,"Westerly, RI"
2511,METRO39300MM5520,Hopkinton,RI,825,851,864,843,927,"Hopkinton, RI"
2512,METRO39300MM5520,New Shoreham,RI,825,851,864,843,927,"New Shoreham, RI"
2515,METRO24860M11340,Anderson,SC,538,570,567,573,623,"Anderson, SC"
2516,METRO25940N45013,Beaufort County,SC,876,842,886,864,1032,"Beaufort County, SC"
2522,METRO16740N45023,Chester County,SC,512,512,526,521,553,"Chester County, SC"
2523,METRO22500N45031,Darlington County,SC,514,486,491,496,516,"Darlington County, SC"
2524,METRO16700M16700,Charleston,SC,713,743,818,907,1000,"Charleston, SC"
2525,METRO16700M16700,North Charleston,SC,713,743,818,907,1000,"North Charleston, SC"
2526,METRO12260M12260,Augusta,SC,563,617,691,689,636,"Augusta, SC"
2527,METRO12260M12260,Richmond County,SC,563,617,691,689,636,"Richmond County, SC"
2529,METRO22500M22500,Florence,SC,543,565,601,607,616,"Florence, SC"
2533,METRO34820M34820,Myrtle Beach,SC,727,788,793,812,732,"Myrtle Beach, SC"
2534,METRO34820M34820,North Myrtle Beach,SC,727,788,793,812,732,"North Myrtle Beach, SC"
2535,METRO34820M34820,Conway,SC,727,788,793,812,732,"Conway, SC"
2536,METRO25940N45053,Jasper County,SC,707,678,712,708,795,"Jasper County, SC"
2537,METRO17900N45055,Kershaw County,SC,567,584,618,614,585,"Kershaw County, SC"
2538,METRO16740N45057,Lancaster County,SC,623,561,505,521,623,"Lancaster County, SC"
2539,METRO24860N45059,Laurens County,SC,490,516,541,560,606,"Laurens County, SC"
2541,METRO24860M24860,Greenville,SC,551,582,631,628,731,"Greenville, SC"
2542,METRO24860M24860,Mauldin,SC,551,582,631,628,731,"Mauldin, SC"
2543,METRO24860M24860,Easley,SC,551,582,631,628,731,"Easley, SC"
2545,METRO17900M17900,Columbia,SC,592,605,671,706,782,"Columbia, SC"
2546,METRO43900M43900,Spartanburg,SC,449,511,552,613,695,"Spartanburg, SC"
2547,METRO44940M44940,Sumter,SC,586,604,618,614,651,"Sumter, SC"
2548,METRO43900N45087,Union County,SC,452,466,503,523,530,"Union County, SC"
2549,METRO16740M16740,Charlotte,SC,703,777,875,907,987,"Charlotte, SC"
2550,METRO16740M16740,Concord,SC,703,777,875,907,987,"Concord, SC"
2551,METRO16740M16740,Gastonia,SC,703,777,875,907,987,"Gastonia, SC"
2552,METRO39660N46033,Custer County,SD,519,567,596,585,614,"Custer County, SD"
2555,METRO39660N46093,Meade County,SD,466,496,512,508,566,"Meade County, SD"
2557,METRO39660M39660,Rapid City,SD,575,614,590,549,577,"Rapid City, SD"
2558,METRO43620M43620,Sioux Falls,SD,543,535,612,599,642,"Sioux Falls, SD"
2559,METRO43580M43580,Sioux City,SD,478,514,527,523,549,"Sioux City, SD"
2563,METRO28940N47013,Campbell County,TN,389,403,415,453,445,"Campbell County, TN"
2578,METRO27180N47033,Crockett County,TN,448,482,438,432,444,"Crockett County, TN"
2592,METRO28940M34100,Grainger County,TN,389,403,427,487,481,"Grainger County, TN"
2598,METRO34980N47081,Hickman County,TN,510,533,594,617,647,"Hickman County, TN"
2599,METRO34100M34100,Morristown,TN,480,489,515,557,568,"Morristown, TN"
2602,METRO34980N47111,Macon County,TN,433,445,500,544,551,"Macon County, TN"
2603,METRO27180M27180,Jackson,TN,500,530,498,516,549,"Jackson, TN"
2605,METRO34980N47119,Maury County,TN,588,576,635,706,730,"Maury County, TN"
2606,METRO17300M17300,Clarksville,TN,487,544,563,578,576,"Clarksville, TN"
2607,METRO28940N47129,Morgan County,TN,405,431,449,495,478,"Morgan County, TN"
2608,METRO17420M17420,Cleveland,TN,473,485,513,526,536,"Cleveland, TN"
2609,METRO28940N47145,Roane County,TN,461,495,515,535,512,"Roane County, TN"
2622,METRO16860M16860,Chattanooga,TN,562,542,585,599,636,"Chattanooga, TN"
2624,METRO34980N47159,Smith County,TN,446,471,517,525,494,"Smith County, TN"
2625,METRO28700M28700,Kingsport,TN,453,505,515,533,513,"Kingsport, TN"
2627,METRO28700M28700,Bristol,TN,453,505,515,533,513,"Bristol, TN"
2634,METRO32820M32820,Memphis,TN,631,628,658,665,686,"Memphis, TN"
2642,METRO28940M28940,Knoxville,TN,520,549,566,624,624,"Knoxville, TN"
2643,METRO27740M27740,Johnson City,TN,472,491,534,558,617,"Johnson City, TN"
2650,METRO34980M34980,Nashville,TN,700,731,830,898,998,"Nashville, TN"
2651,METRO34980M34980,Davidson,TN,700,731,830,898,998,"Davidson, TN"
2653,METRO34980M34980,Murfreesboro,TN,700,731,830,898,998,"Murfreesboro, TN"
2654,METRO34980M34980,,TN,700,731,830,898,998,", TN"
2655,METRO34980M34980,Franklin,TN,700,731,830,898,998,"Franklin, TN"
2656,METRO18580N48007,Aransas County,TX,622,636,693,624,683,"Aransas County, TX"
2659,METRO41700N48013,Atascosa County,TX,510,530,560,565,603,"Atascosa County, TX"
2660,METRO26420N48015,Austin County,TX,630,706,741,722,650,"Austin County, TX"
2669,METRO45500M45500,Texarkana,TX,502,558,569,611,647,"Texarkana, TX"
2670,METRO26420MM1145,Brazoria County,TX,762,819,738,716,751,"Brazoria County, TX"
2678,METRO15180M15180,Brownsville,TX,529,541,559,592,586,"Brownsville, TX"
2679,METRO15180M15180,Harlingen,TX,529,541,559,592,586,"Harlingen, TX"
2688,METRO28660M28660,Killeen,TX,590,576,589,607,635,"Killeen, TX"
2689,METRO28660M28660,Temple,TX,590,576,589,607,635,"Temple, TX"
2693,METRO36220M36220,Odessa,TX,834,751,780,781,836,"Odessa, TX"
2695,METRO21340M21340,El Paso,TX,546,537,534,539,548,"El Paso, TX"
2696,METRO47380N48145,Falls County,TX,504,461,488,517,540,"Falls County, TX"
2704,METRO43300M43300,Sherman,TX,508,568,604,631,661,"Sherman, TX"
2705,METRO43300M43300,Denison,TX,508,568,604,631,661,"Denison, TX"
2716,METRO32580M32580,McAllen,TX,562,580,582,573,570,"McAllen, TX"
2717,METRO32580M32580,Edinburg,TX,562,580,582,573,570,"Edinburg, TX"
2718,METRO32580M32580,Mission,TX,562,580,582,573,570,"Mission, TX"
2719,METRO19100N48221,Hood County,TX,596,642,688,777,907,"Hood County, TX"
2720,METRO21340N48229,Hudspeth County,TX,563,529,551,511,484,"Hudspeth County, TX"
2729,METRO41700N48259,Kendall County,TX,715,745,799,819,884,"Kendall County, TX"
2730,METRO28660N48281,Lampasas County,TX,539,521,547,576,600,"Lampasas County, TX"
2734,METRO31180M31180,Lubbock,TX,545,593,635,613,637,"Lubbock, TX"
2735,METRO31180N48305,Lynn County,TX,483,492,517,512,523,"Lynn County, TX"
2736,METRO47380M47380,Waco,TX,517,553,572,649,686,"Waco, TX"
2737,METRO33260N48317,Martin County,TX,510,510,556,569,592,"Martin County, TX"
2738,METRO41700N48325,Medina County,TX,456,484,529,545,592,"Medina County, TX"
2739,METRO33260M33260,Midland,TX,1033,933,1060,1073,1121,"Midland, TX"
2743,METRO13140N48351,Newton County,TX,450,470,494,521,553,"Newton County, TX"
2745,METRO11100N48359,Oldham County,TX,598,552,622,673,712,"Oldham County, TX"
2746,METRO13140M13140,Beaumont,TX,539,575,647,623,661,"Beaumont, TX"
2747,METRO13140M13140,Port Arthur,TX,539,575,647,623,661,"Port Arthur, TX"
2751,METRO11100M11100,Amarillo,TX,525,514,553,596,629,"Amarillo, TX"
2752,METRO17780M17780,College Station,TX,624,655,660,682,686,"College Station, TX"
2753,METRO17780M17780,Bryan,TX,624,655,660,682,686,"Bryan, TX"
2754,METRO19100M19100,Dallas,TX,689,730,836,957,1029,"Dallas, TX"
2755,METRO30980N48401,Rusk County,TX,522,524,517,562,547,"Rusk County, TX"
2756,METRO18580M18580,Corpus Christi,TX,759,752,826,744,784,"Corpus Christi, TX"
2757,METRO46340M46340,Tyler,TX,626,693,742,762,897,"Tyler, TX"
2758,METRO19100N48425,Somervell County,TX,461,478,571,636,665,"Somervell County, TX"
2759,METRO19100MM2800,Fort Worth,TX,671,736,754,838,901,"Fort Worth, TX"
2760,METRO19100MM2800,Arlington,TX,671,736,754,838,901,"Arlington, TX"
2761,METRO10180M10180,Abilene,TX,566,565,598,631,707,"Abilene, TX"
2762,METRO41660M41660,San Angelo,TX,618,574,615,627,647,"San Angelo, TX"
2765,METRO30980M30980,Longview,TX,653,610,585,616,603,"Longview, TX"
2766,METRO47020M47020,Victoria,TX,734,712,693,707,723,"Victoria, TX"
2767,METRO26420M26420,Houston,TX,701,772,812,826,908,"Houston, TX"
2768,METRO26420M26420,The Woodlands,TX,701,772,812,826,908,"The Woodlands, TX"
2769,METRO26420M26420,Sugar Land,TX,701,772,812,826,908,"Sugar Land, TX"
2770,METRO29700M29700,Laredo,TX,598,583,664,683,730,"Laredo, TX"
2771,METRO48660M48660,Wichita Falls,TX,483,515,496,525,585,"Wichita Falls, TX"
2772,METRO12420M12420,Austin,TX,799,860,931,988,1059,"Austin, TX"
2773,METRO12420M12420,Round Rock,TX,799,860,931,988,1059,"Round Rock, TX"
2774,METRO41700M41700,San Antonio,TX,623,649,688,702,761,"San Antonio, TX"
2775,METRO41700M41700,New Braunfels,TX,623,649,688,702,761,"New Braunfels, TX"
2776,METRO19100N48497,Wise County,TX,616,653,714,902,932,"Wise County, TX"
2777,METRO36260N49003,Box Elder County,UT,463,455,473,527,561,"Box Elder County, UT"
2778,METRO30860M30860,Logan,UT,440,448,450,467,516,"Logan, UT"
2785,METRO41620M41620,Salt Lake City,UT,642,667,708,790,829,"Salt Lake City, UT"
2786,METRO41620N49045,Tooele County,UT,581,600,613,684,690,"Tooele County, UT"
2787,METRO39340M39340,Provo,UT,605,625,654,723,776,"Provo, UT"
2788,METRO39340M39340,Orem,UT,605,625,654,723,776,"Orem, UT"
2789,METRO41100M41100,St. George,UT,580,613,649,711,751,"St. George, UT"
2790,METRO36260M36260,Ogden,UT,557,571,594,673,721,"Ogden, UT"
2791,METRO36260M36260,Clearfield,UT,557,571,594,673,721,"Clearfield, UT"
2866,METRO15540M15540,Burlington,VT,885,920,992,1030,1091,"Burlington, VT"
2867,METRO15540M15540,South Burlington,VT,885,920,992,1030,1091,"South Burlington, VT"
2879,METRO16820N51029,Buckingham County,VA,436,468,513,513,564,"Buckingham County, VA"
2888,METRO47900N51047,Culpeper County,VA,824,867,784,763,788,"Culpeper County, VA"
2896,METRO13980N51063,Floyd County,VA,518,556,596,609,601,"Floyd County, VA"
2898,METRO40220N51067,Franklin County,VA,490,484,465,489,575,"Franklin County, VA"
2900,METRO13980N51071,Giles County,VA,443,531,526,495,504,"Giles County, VA"
2931,METRO13980N51155,Pulaski County,VA,522,556,596,615,618,"Pulaski County, VA"
2932,METRO47900N51157,Rappahannock County,VA,864,851,831,932,921,"Rappahannock County, VA"
2945,METRO47900MM8820,Warren County,VA,738,764,715,671,676,"Warren County, VA"
2955,METRO28700M28700,Kingsport,VA,453,505,515,533,513,"Kingsport, VA"
2957,METRO28700M28700,Bristol,VA,453,505,515,533,513,"Bristol, VA"
2958,METRO16820M16820,Charlottesville,VA,714,752,851,854,949,"Charlottesville, VA"
2975,METRO25500M25500,Harrisonburg,VA,626,651,674,680,699,"Harrisonburg, VA"
2977,METRO31340M31340,Lynchburg,VA,575,568,579,630,633,"Lynchburg, VA"
2981,METRO47900M47900,Washington,VA,1440,1504,1415,1457,1513,"Washington, VA"
2982,METRO47900M47900,Arlington,VA,1440,1504,1415,1457,1513,"Arlington, VA"
2983,METRO47900M47900,Alexandria,VA,1440,1504,1415,1457,1513,"Alexandria, VA"
2997,METRO13980M13980,Blacksburg,VA,664,667,692,797,795,"Blacksburg, VA"
2998,METRO13980M13980,Christiansburg,VA,664,667,692,797,795,"Christiansburg, VA"
2999,METRO13980M13980,Radford,VA,664,667,692,797,795,"Radford, VA"
3000,METRO40060M40060,Richmond,VA,830,864,889,899,993,"Richmond, VA"
3002,METRO40220M40220,Roanoke,VA,572,547,528,555,641,"Roanoke, VA"
3011,METRO44420M44420,Staunton,VA,625,656,657,678,690,"Staunton, VA"
3012,METRO44420M44420,Waynesboro,VA,625,656,657,678,690,"Waynesboro, VA"
3013,METRO47260M47260,Virginia Beach,VA,934,907,919,952,960,"Virginia Beach, VA"
3014,METRO47260M47260,Norfolk,VA,934,907,919,952,960,"Norfolk, VA"
3015,METRO47260M47260,Newport News,VA,934,907,919,952,960,"Newport News, VA"
3016,METRO49020M49020,Winchester,VA,775,699,719,778,814,"Winchester, VA"
3017,METRO30300M30300,Lewiston,WA,469,511,519,566,584,"Lewiston, WA"
3024,METRO47460N53013,Columbia County,WA,486,561,604,652,685,"Columbia County, WA"
3025,METRO31020M31020,Longview,WA,494,564,601,640,676,"Longview, WA"
3026,METRO48300M48300,Wenatchee,WA,541,636,667,710,734,"Wenatchee, WA"
3027,METRO28420M28420,Kennewick,WA,565,577,634,720,678,"Kennewick, WA"
3028,METRO28420M28420,Richland,WA,565,577,634,720,678,"Richland, WA"
3031,METRO14740M14740,Bremerton,WA,659,725,774,844,976,"Bremerton, WA"
3032,METRO14740M14740,Silverdale,WA,659,725,774,844,976,"Silverdale, WA"
3033,METRO44060N53051,Pend Oreille County,WA,465,475,491,548,646,"Pend Oreille County, WA"
3034,METRO42660MM8200,Tacoma,WA,766,773,860,961,1011,"Tacoma, WA"
3035,METRO34580M34580,Mount Vernon,WA,663,654,671,825,839,"Mount Vernon, WA"
3036,METRO34580M34580,Anacortes,WA,663,654,671,825,839,"Anacortes, WA"
3037,METRO38900M38900,Portland,WA,946,1026,1131,1192,1245,"Portland, WA"
3038,METRO38900M38900,Vancouver,WA,946,1026,1131,1192,1245,"Vancouver, WA"
3039,METRO38900M38900,Hillsboro,WA,946,1026,1131,1192,1245,"Hillsboro, WA"
3040,METRO42660MM7600,Seattle,WA,1093,1363,1416,1627,1523,"Seattle, WA"
3041,METRO42660MM7600,Bellevue,WA,1093,1363,1416,1627,1523,"Bellevue, WA"
3042,METRO44060M44060,Spokane,WA,551,553,569,597,674,"Spokane, WA"
3043,METRO44060N53065,Stevens County,WA,528,510,480,489,570,"Stevens County, WA"
3044,METRO36500M36500,Olympia,WA,784,852,906,954,1021,"Olympia, WA"
3045,METRO36500M36500,Tumwater,WA,784,852,906,954,1021,"Tumwater, WA"
3046,METRO47460N53071,Walla Walla County,WA,526,592,631,680,728,"Walla Walla County, WA"
3047,METRO13380M13380,Bellingham,WA,659,707,747,846,907,"Bellingham, WA"
3048,METRO49420M49420,Yakima,WA,538,582,556,685,722,"Yakima, WA"
3049,METRO25180MM0877,Martinsburg,WV,676,639,706,744,719,"Martinsburg, WV"
3050,METRO16620N54005,Boone County,WV,432,411,415,439,461,"Boone County, WV"
3056,METRO13220N54019,Fayette County,WV,432,491,503,569,522,"Fayette County, WV"
3057,METRO49020M49020,Winchester,WV,775,699,719,778,814,"Winchester, WV"
3058,METRO48260M48260,Weirton,WV,485,450,450,453,511,"Weirton, WV"
3059,METRO48260M48260,Steubenville,WV,485,450,450,453,511,"Steubenville, WV"
3060,METRO47900MM3630,Jefferson County,WV,727,729,769,767,789,"Jefferson County, WV"
3061,METRO16620M16620,Charleston,WV,473,503,527,542,534,"Charleston, WV"
3062,METRO26580M54043,Lincoln County,WV,486,448,453,482,495,"Lincoln County, WV"
3064,METRO19060M19060,Cumberland,WV,511,527,513,519,499,"Cumberland, WV"
3066,METRO48540M48540,Wheeling,WV,625,565,548,566,550,"Wheeling, WV"
3067,METRO34060M34060,Morgantown,WV,619,697,670,743,711,"Morgantown, WV"
3068,METRO26580M54079,Putnam County,WV,661,595,600,638,655,"Putnam County, WV"
3069,METRO13220N54081,Raleigh County,WV,548,621,633,644,581,"Raleigh County, WV"
3070,METRO26580M26580,Huntington,WV,465,469,509,553,553,"Huntington, WV"
3071,METRO26580M26580,Ashland,WV,465,469,509,553,553,"Ashland, WV"
3074,METRO37620M37620,Parkersburg,WV,575,532,547,574,605,"Parkersburg, WV"
3075,METRO37620M37620,Vienna,WV,575,532,547,574,605,"Vienna, WV"
3079,METRO31540N55021,Columbia County,WI,501,550,558,596,606,"Columbia County, WI"
3080,METRO31540M31540,Madison,WI,673,769,776,861,889,"Madison, WI"
3081,METRO20260M20260,Duluth,WI,520,592,626,601,654,"Duluth, WI"
3082,METRO20740M20740,Eau Claire,WI,492,493,520,514,573,"Eau Claire, WI"
3083,METRO22540M22540,Fond du Lac,WI,519,538,561,565,582,"Fond du Lac, WI"
3084,METRO31540N55045,Green County,WI,501,566,588,621,641,"Green County, WI"
3085,METRO31540N55049,Iowa County,WI,524,565,570,637,655,"Iowa County, WI"
3086,METRO16980MM3800,Kenosha County,WI,565,573,585,678,694,"Kenosha County, WI"
3087,METRO24580M24580,Green Bay,WI,474,531,590,572,630,"Green Bay, WI"
3088,METRO29100M29100,La Crosse,WI,516,506,531,540,577,"La Crosse, WI"
3089,METRO29100M29100,Onalaska,WI,516,506,531,540,577,"Onalaska, WI"
3090,METRO48140M48140,Wausau,WI,457,494,497,506,536,"Wausau, WI"
3094,METRO24580N55083,Oconto County,WI,539,553,569,513,529,"Oconto County, WI"
3095,METRO11540M11540,Appleton,WI,462,559,566,598,592,"Appleton, WI"
3102,METRO39540M39540,Racine,WI,539,555,555,564,598,"Racine, WI"
3103,METRO27500M27500,Janesville,WI,525,596,608,630,651,"Janesville, WI"
3104,METRO27500M27500,Beloit,WI,525,596,608,630,651,"Beloit, WI"
3105,METRO33460M33460,Minneapolis,WI,699,711,763,820,898,"Minneapolis, WI"
3106,METRO33460M33460,St. Paul,WI,699,711,763,820,898,"St. Paul, WI"
3107,METRO33460M33460,Bloomington,WI,699,711,763,820,898,"Bloomington, WI"
3108,METRO43100M43100,Sheboygan,WI,448,468,467,477,535,"Sheboygan, WI"
3112,METRO33340M33340,Milwaukee,WI,615,611,621,628,663,"Milwaukee, WI"
3113,METRO33340M33340,Waukesha,WI,615,611,621,628,663,"Waukesha, WI"
3114,METRO33340M33340,West Allis,WI,615,611,621,628,663,"West Allis, WI"
3115,METRO36780M36780,Oshkosh,WI,560,553,543,546,529,"Oshkosh, WI"
3116,METRO36780M36780,Neenah,WI,560,553,543,546,529,"Neenah, WI"
3117,METRO16940M16940,Cheyenne,WY,607,659,642,717,692,"Cheyenne, WY"
3118,METRO16220M16220,Casper,WY,651,656,592,612,593,"Casper, WY"
3166,METRO11640MM0470,Arecibo,PR,323,319,359,376,384,"Arecibo, PR"
3182,METRO41980M21940,Fajardo,PR,365,375,391,403,396,"Fajardo, PR"
3187,METRO32420M32420,Mayagüez,PR,464,418,393,403,419,"Mayagüez, PR"
3196,METRO41980N72923,Barranquitas,PR,346,311,334,327,337,"Barranquitas, PR"
3197,METRO41980N72923,Aibonito,PR,346,311,334,327,337,"Aibonito, PR"
3198,METRO25020M25020,Guayama,PR,357,341,360,359,361,"Guayama, PR"
3201,METRO11640N72923,Quebradillas Municipio,PR,357,330,355,359,393,"Quebradillas Municipio, PR"
3207,METRO41900M41900,San German,PR,357,336,345,329,319,"San German, PR"
3210,METRO41980MM1310,Caguas,PR,361,352,379,381,384,"Caguas, PR"
3211,METRO10380M10380,Aguadilla,PR,357,342,364,362,381,"Aguadilla, PR"
3212,METRO10380M10380,Isabela,PR,357,342,364,362,381,"Isabela, PR"
3219,METRO10380N72141,Utuado Municipio,PR,323,310,364,364,362,"Utuado Municipio, PR"
3224,METRO38660M38660,Ponce,PR,377,371,398,377,384,"Ponce, PR"
3225,METRO41980MM7440,San Juan,PR,430,415,431,416,436,"San Juan, PR"
3226,METRO41980MM7440,Guaynabo,PR,430,415,431,416,436,"Guaynabo, PR"
3227,METRO38660M49500,Yauco,PR,357,323,354,349,361,"Yauco, PR"
