"city, state",ds,y
"Daphne, AL",2017,807
"Fairhope, AL",2017,807
"Foley, AL",2017,807
"Anniston, AL",2017,437
"Oxford, AL",2017,437
"Jacksonville, AL",2017,437
"Chilton County, AL",2017,484
"Gadsden, AL",2017,527
"Henry County, AL",2017,513
"Dothan, AL",2017,508
"Florence, AL",2017,529
"Muscle Shoals, AL",2017,529
"Auburn, AL",2017,543
"Opelika, AL",2017,543
"Huntsville, AL",2017,541
"Mobile, AL",2017,727
"Montgomery, AL",2017,587
"Decatur, AL",2017,427
"Pickens County, AL",2017,450
"Columbus, AL",2017,605
"Birmingham, AL",2017,665
"Hoover, AL",2017,665
"Tuscaloosa, AL",2017,566
"Walker County, AL",2017,500
"Anchorage, AK",2017,888
"Fairbanks, AK",2017,804
"Matanuska, AK",2017,660
"Susitna Borough, AK",2017,660
"Sierra Vista, AZ",2017,594
"Douglas, AZ",2017,594
"Flagstaff, AZ",2017,704
"Lake Havasu City, AZ",2017,529
"Kingman, AZ",2017,529
"Tucson, AZ",2017,550
"Phoenix, AZ",2017,624
"Mesa, AZ",2017,624
"Scottsdale, AZ",2017,624
"Prescott, AZ",2017,683
"Yuma, AZ",2017,639
"Jonesboro, AR",2017,466
"Memphis, AR",2017,631
"Hot Springs, AR",2017,526
"Grant County, AR",2017,442
"Pine Bluff, AR",2017,429
"Little River County, AR",2017,435
"Texarkana, AR",2017,502
"Poinsett County, AR",2017,490
"Little Rock, AR",2017,581
"North Little Rock, AR",2017,581
"Conway, AR",2017,581
"Fort Smith, AR",2017,493
"Fayetteville, AR",2017,546
"Springdale, AR",2017,546
"Rogers, AR",2017,546
"Chico, CA",2017,656
"Oakland, CA",2017,1435
"Fremont, CA",2017,1435
"Fresno, CA",2017,670
"El Centro, CA",2017,522
"Bakersfield, CA",2017,623
"Hanford, CA",2017,619
"Corcoran, CA",2017,619
"Los Angeles, CA",2017,988
"Long Beach, CA",2017,988
"Glendale, CA",2017,988
"Madera, CA",2017,667
"Merced, CA",2017,522
"Salinas, CA",2017,950
"Napa, CA",2017,1014
"Santa Ana, CA",2017,1257
"Anaheim, CA",2017,1257
"Irvine, CA",2017,1257
"Sacramento, CA",2017,720
"Roseville, CA",2017,720
", CA",2017,720
"Arden, CA",2017,720
"Arcade, CA",2017,720
"San Benito County, CA",2017,1019
