metro_code,areaname,state_alpha,2017,2018,2019,2020,2021,"city, state"
METRO19300M19300,Daphne,AL,977,879,888,916,922,"Daphne, AL"
METRO19300M19300,Fairhope,AL,977,879,888,916,922,"Fairhope, AL"
METRO19300M19300,Foley,AL,977,879,888,916,922,"Foley, AL"
METRO11500M11500,Anniston,AL,630,679,676,700,723,"Anniston, AL"
METRO11500M11500,Oxford,AL,630,679,676,700,723,"Oxford, AL"
METRO11500M11500,Jacksonville,AL,630,679,676,700,723,"Jacksonville, AL"
METRO13820N01021,Chilton County,AL,621,633,628,714,713,"Chilton County, AL"
METRO23460M23460,Gadsden,AL,716,661,662,693,717,"Gadsden, AL"
METRO20020N01067,Henry County,AL,621,636,628,612,634,"Henry County, AL"
METRO20020M20020,Dothan,AL,656,695,682,666,706,"Dothan, AL"
METRO22520M22520,Florence,AL,673,669,675,714,748,"Florence, AL"
METRO22520M22520,Muscle Shoals,AL,673,669,675,714,748,"Muscle Shoals, AL"
METRO12220M12220,Auburn,AL,798,827,814,811,824,"Auburn, AL"
METRO12220M12220,Opelika,AL,798,827,814,811,824,"Opelika, AL"
METRO26620M26620,Huntsville,AL,746,717,809,782,821,"Huntsville, AL"
METRO33660M33660,Mobile,AL,892,840,848,874,824,"Mobile, AL"
METRO33860M33860,Montgomery,AL,822,829,825,830,908,"Montgomery, AL"
METRO19460M19460,Decatur,AL,640,669,681,687,708,"Decatur, AL"
METRO46220N01107,Pickens County,AL,621,606,628,612,634,"Pickens County, AL"
METRO17980M17980,Columbus,AL,777,823,862,790,832,"Columbus, AL"
METRO13820M13820,Birmingham,AL,866,882,873,986,1002,"Birmingham, AL"
METRO13820M13820,Hoover,AL,866,882,873,986,1002,"Hoover, AL"
METRO46220M46220,Tuscaloosa,AL,782,805,847,885,839,"Tuscaloosa, AL"
METRO13820N01127,Walker County,AL,641,655,664,751,724,"Walker County, AL"
METRO11260M11260,Anchorage,AK,1293,1337,1313,1305,1220,"Anchorage, AK"
METRO21820M21820,Fairbanks,AK,1267,1368,1356,1325,1301,"Fairbanks, AK"
METRO11260N02170,Matanuska,AK,1041,1111,1078,1043,1020,"Matanuska, AK"
METRO11260N02170,Susitna Borough,AK,1041,1111,1078,1043,1020,"Susitna Borough, AK"
METRO43420M43420,Sierra Vista,AZ,747,779,823,857,874,"Sierra Vista, AZ"
METRO43420M43420,Douglas,AZ,747,779,823,857,874,"Douglas, AZ"
METRO22380M22380,Flagstaff,AZ,1037,1129,1237,1266,1315,"Flagstaff, AZ"
METRO29420M29420,Lake Havasu City,AZ,762,797,776,871,905,"Lake Havasu City, AZ"
METRO29420M29420,Kingman,AZ,762,797,776,871,905,"Kingman, AZ"
METRO46060M46060,Tucson,AZ,867,854,903,949,959,"Tucson, AZ"
METRO38060M38060,Phoenix,AZ,944,1013,1073,1173,1251,"Phoenix, AZ"
METRO38060M38060,Mesa,AZ,944,1013,1073,1173,1251,"Mesa, AZ"
METRO38060M38060,Scottsdale,AZ,944,1013,1073,1173,1251,"Scottsdale, AZ"
METRO39140M39140,Prescott,AZ,901,891,958,1026,1051,"Prescott, AZ"
METRO49740M49740,Yuma,AZ,870,800,798,816,927,"Yuma, AZ"
METRO27860MM3700,Jonesboro,AR,735,743,756,793,811,"Jonesboro, AR"
METRO32820M32820,Memphis,AR,835,833,875,884,911,"Memphis, AR"
METRO26300M26300,Hot Springs,AR,765,771,776,772,799,"Hot Springs, AR"
METRO30780N05053,Grant County,AR,622,650,697,709,747,"Grant County, AR"
METRO38220M38220,Pine Bluff,AR,659,691,716,713,729,"Pine Bluff, AR"
METRO45500N05081,Little River County,AR,611,633,650,630,654,"Little River County, AR"
METRO45500M45500,Texarkana,AR,720,795,798,792,826,"Texarkana, AR"
METRO27860N05111,Poinsett County,AR,632,633,650,630,654,"Poinsett County, AR"
METRO30780M30780,Little Rock,AR,814,811,831,804,849,"Little Rock, AR"
METRO30780M30780,North Little Rock,AR,814,811,831,804,849,"North Little Rock, AR"
METRO30780M30780,Conway,AR,814,811,831,804,849,"Conway, AR"
METRO22900M22900,Fort Smith,AR,679,697,700,686,728,"Fort Smith, AR"
METRO22220M22220,Fayetteville,AR,748,723,758,807,780,"Fayetteville, AR"
METRO22220M22220,Springdale,AR,748,723,758,807,780,"Springdale, AR"
METRO22220M22220,Rogers,AR,748,723,758,807,780,"Rogers, AR"
METRO17020M17020,Chico,CA,923,992,1144,1090,1192,"Chico, CA"
METRO41860MM5775,Oakland,CA,2173,2329,2126,2239,2383,"Oakland, CA"
METRO41860MM5775,Fremont,CA,2173,2329,2126,2239,2383,"Fremont, CA"
METRO23420M23420,Fresno,CA,887,958,956,980,1064,"Fresno, CA"
METRO20940M20940,El Centro,CA,822,901,953,1027,1060,"El Centro, CA"
METRO12540M12540,Bakersfield,CA,844,904,926,946,970,"Bakersfield, CA"
METRO25260M25260,Hanford,CA,803,929,987,1064,1109,"Hanford, CA"
METRO25260M25260,Corcoran,CA,803,929,987,1064,1109,"Corcoran, CA"
METRO31080MM4480,Los Angeles,CA,1545,1663,1791,1956,2058,"Los Angeles, CA"
METRO31080MM4480,Long Beach,CA,1545,1663,1791,1956,2058,"Long Beach, CA"
METRO31080MM4480,Glendale,CA,1545,1663,1791,1956,2058,"Glendale, CA"
METRO31460M31460,Madera,CA,893,962,1020,1105,1151,"Madera, CA"
METRO32900M32900,Merced,CA,776,790,839,947,1067,"Merced, CA"
METRO41500M41500,Salinas,CA,1417,1433,1540,1810,1793,"Salinas, CA"
METRO34900M34900,Napa,CA,1598,1575,1705,1880,2018,"Napa, CA"
METRO31080MM5945,Santa Ana,CA,1813,1876,2037,2216,2331,"Santa Ana, CA"
METRO31080MM5945,Anaheim,CA,1813,1876,2037,2216,2331,"Anaheim, CA"
METRO31080MM5945,Irvine,CA,1813,1876,2037,2216,2331,"Irvine, CA"
METRO40900M40900,Sacramento,CA,1036,1086,1220,1349,1495,"Sacramento, CA"
METRO40900M40900,Roseville,CA,1036,1086,1220,1349,1495,"Roseville, CA"
METRO40900M40900,,CA,1036,1086,1220,1349,1495,", CA"
METRO40900M40900,Arden,CA,1036,1086,1220,1349,1495,"Arden, CA"
METRO40900M40900,Arcade,CA,1036,1086,1220,1349,1495,"Arcade, CA"
METRO41940N06069,San Benito County,CA,1490,1699,1750,1710,1674,"San Benito County, CA"
METRO40140M40140,Riverside,CA,1197,1156,1232,1289,1390,"Riverside, CA"
METRO40140M40140,San Bernardino,CA,1197,1156,1232,1289,1390,"San Bernardino, CA"
METRO40140M40140,Ontario,CA,1197,1156,1232,1289,1390,"Ontario, CA"
METRO41740M41740,San Diego,CA,1741,1816,2068,2037,2124,"San Diego, CA"
METRO41740M41740,Carlsbad,CA,1741,1816,2068,2037,2124,"Carlsbad, CA"
METRO44700M44700,Stockton,CA,967,990,1092,1144,1270,"Stockton, CA"
METRO44700M44700,Lodi,CA,967,990,1092,1144,1270,"Lodi, CA"
METRO42020M42020,San Luis Obispo,CA,1309,1427,1542,1657,1665,"San Luis Obispo, CA"
METRO42020M42020,Paso Robles,CA,1309,1427,1542,1657,1665,"Paso Robles, CA"
METRO42020M42020,Arroyo Grande,CA,1309,1427,1542,1657,1665,"Arroyo Grande, CA"
METRO41860MM7360,San Francisco,CA,3018,3121,3170,3339,3553,"San Francisco, CA"
METRO42200M42200,Santa Maria,CA,1555,1917,1951,2324,2374,"Santa Maria, CA"
