"city, state",ds,y
"Daphne, AL",2017,847
"Fairhope, AL",2017,847
"Foley, AL",2017,847
"Anniston, AL",2017,474
"Oxford, AL",2017,474
"Jacksonville, AL",2017,474
"Chilton County, AL",2017,538
"Gadsden, AL",2017,545
"Henry County, AL",2017,538
"Dothan, AL",2017,511
"Florence, AL",2017,532
"Muscle Shoals, AL",2017,532
"Auburn, AL",2017,600
"Opelika, AL",2017,600
"Huntsville, AL",2017,620
"Mobile, AL",2017,732
"Montgomery, AL",2017,682
"Decatur, AL",2017,515
"Pickens County, AL",2017,467
"Columbus, AL",2017,648
"Birmingham, AL",2017,751
"Hoover, AL",2017,751
"Tuscaloosa, AL",2017,643
"Walker County, AL",2017,519
"Anchorage, AK",2017,1018
"Fairbanks, AK",2017,953
"Matanuska, AK",2017,783
"Susitna Borough, AK",2017,783
"Sierra Vista, AZ",2017,598
"Douglas, AZ",2017,598
"Flagstaff, AZ",2017,835
"Lake Havasu City, AZ",2017,602
"Kingman, AZ",2017,602
"Tucson, AZ",2017,652
"Phoenix, AZ",2017,757
"Mesa, AZ",2017,757
"Scottsdale, AZ",2017,757
"Prescott, AZ",2017,688
"Yuma, AZ",2017,655
"Jonesboro, AR",2017,607
"Memphis, AR",2017,707
"Hot Springs, AR",2017,576
"Grant County, AR",2017,539
"Pine Bluff, AR",2017,509
"Little River County, AR",2017,460
"Texarkana, AR",2017,573
"Poinsett County, AR",2017,493
"Little Rock, AR",2017,673
"North Little Rock, AR",2017,673
"Conway, AR",2017,673
"Fort Smith, AR",2017,511
"Fayetteville, AR",2017,578
"Springdale, AR",2017,578
"Rogers, AR",2017,578
"Chico, CA",2017,729
"Oakland, CA",2017,1723
"Fremont, CA",2017,1723
"Fresno, CA",2017,709
"El Centro, CA",2017,626
"Bakersfield, CA",2017,650
"Hanford, CA",2017,623
"Corcoran, CA",2017,623
"Los Angeles, CA",2017,1195
"Long Beach, CA",2017,1195
"Glendale, CA",2017,1195
"Madera, CA",2017,672
"Merced, CA",2017,602
"Salinas, CA",2017,1133
"Napa, CA",2017,1228
"Santa Ana, CA",2017,1436
"Anaheim, CA",2017,1436
"Irvine, CA",2017,1436
"Sacramento, CA",2017,821
"Roseville, CA",2017,821
", CA",2017,821
"Arden, CA",2017,821
"Arcade, CA",2017,821
"San Benito County, CA",2017,1133
"Riverside, CA",2017,957
"San Bernardino, CA",2017,957
"Ontario, CA",2017,957
"San Diego, CA",2017,1342
"Carlsbad, CA",2017,1342
"Stockton, CA",2017,733
"Lodi, CA",2017,733
"San Luis Obispo, CA",2017,1011
"Paso Robles, CA",2017,1011
"Arroyo Grande, CA",2017,1011
"San Francisco, CA",2017,2411
"Santa Maria, CA",2017,1323
"Santa Barbara, CA",2017,1323
"San Jose, CA",2017,1773
"Sunnyvale, CA",2017,1773
"Santa Clara, CA",2017,1773
"Santa Cruz, CA",2017,1375
"Watsonville, CA",2017,1375
"Redding, CA",2017,688
"Vallejo, CA",2017,1035
"Fairfield, CA",2017,1035
"Santa Rosa, CA",2017,1213
"Modesto, CA",2017,726
"Visalia, CA",2017,668
"Porterville, CA",2017,668
"Oxnard, CA",2017,1326
"Thousand Oaks, CA",2017,1326
"Ventura, CA",2017,1326
"Yolo, CA",2017,884
"Yuba City, CA",2017,679
"Boulder, CO",2017,1021
"Colorado Springs, CO",2017,737
"Fort Collins, CO",2017,817
"Grand Junction, CO",2017,601
"Denver, CO",2017,1031
"Aurora, CO",2017,1031
"Lakewood, CO",2017,1031
"Pueblo, CO",2017,603
"Teller County, CO",2017,779
"Greeley, CO",2017,693
"Danbury, CT",2017,1103
"Bridgeport, CT",2017,990
"Stamford, CT",2017,1539
"Norwalk, CT",2017,1539
"Southern Middlesex County, CT",2017,1029
"Milford, CT",2017,1046
"Ansonia, CT",2017,1046
"Seymour, CT",2017,1046
"Waterbury, CT",2017,801
"New Haven, CT",2017,1093
"Meriden, CT",2017,1093
"Colchester, CT",2017,865
"Lebanon, CT",2017,865
"Norwich, CT",2017,832
"New London, CT",2017,832
"Hartford, CT",2017,971
"West Hartford, CT",2017,971
"East Hartford, CT",2017,971
"Windham County, CT",2017,725
"Dover, DE",2017,899
"Philadelphia, DE",2017,1003
"Camden, DE",2017,1003
"Wilmington, DE",2017,1003
"Sussex County, DE",2017,688
"Washington, DC",2017,1513
"Arlington, DC",2017,1513
"Alexandria, DC",2017,1513
"Baker County, FL",2017,645
"Panama City, FL",2017,813
"Lynn Haven, FL",2017,813
"Panama City Beach, FL",2017,813
"Palm Bay, FL",2017,697
"Melbourne, FL",2017,697
"Titusville, FL",2017,697
"Fort Lauderdale, FL",2017,1023
"Punta Gorda, FL",2017,661
"Homosassa Springs, FL",2017,580
"Naples, FL",2017,973
"Immokalee, FL",2017,973
"Marco Island, FL",2017,973
"Palm Coast, FL",2017,848
"Gainesville, FL",2017,717
"Gulf County, FL",2017,749
"Sebring, FL",2017,561
"Sebastian, FL",2017,701
"Vero Beach, FL",2017,701
"Cape Coral, FL",2017,741
"Fort Myers, FL",2017,741
"Tallahassee, FL",2017,736
"Ocala, FL",2017,675
"Miami, FL",2017,1020
"Miami Beach, FL",2017,1020
"Kendall, FL",2017,1020
"Crestview, FL",2017,810
"Fort Walton Beach, FL",2017,810
"Destin, FL",2017,810
"West Palm Beach, FL",2017,1093
"Boca Raton, FL",2017,1093
"Tampa, FL",2017,815
