,School,Score,Rating,Address,Type,Grades,Total Students Enrolled,Students per teacher,District
68,Buxmont Academy,0/10,Currently unrated,"544 Main Street (Rear), Bethlehem, PA, 18018",Private,Ungraded,N/A,N/A,N/A
69,William Penn Day Care,0/10,Currently unrated,"1002 Main Street, Bethlehem, PA, 18018",Private,PK,N/A,N/A,N/A
70,Penbrook Pewee Child Care Center,0/10,Currently unrated,"1032 Pembroke Road, Bethlehem, PA, 18017",Private,PK,N/A,N/A,N/A
71,Christian Day Care,0/10,Currently unrated,"1300 Eaton Avenue, Bethlehem, PA, 18018",Private,PK,N/A,N/A,N/A
72,Fountain Hill Child Care Center,0/10,Currently unrated,"1330 Church St, Bethlehem, PA, 18015",Private,PK,N/A,N/A,N/A
73,Angel's Child Day Care,0/10,Currently unrated,"15 W 4th St, Bethlehem, PA, 18015",Private,PK,N/A,N/A,N/A
74,Bonaventure Academy,0/10,Currently unrated,"1605 Schoenersville Road, Bethlehem, PA, 18018",Private,PK,N/A,N/A,N/A
75,ASA School Day Care-Packer,0/10,Currently unrated,"1650 Kenwood Dr, Bethlehem, PA, 18017",Private,PK,N/A,N/A,N/A
76,East Hills Moravian Pre-School,0/10,Currently unrated,"1830 Butztown Road, Bethlehem, PA, 18017",Private,PK,N/A,N/A,N/A
77,Bethlehem Area Child Care,0/10,Currently unrated,"2046 5th St, Bethlehem, PA, 18020",Private,PK,N/A,N/A,N/A
78,Bethlehem Area Child Care,0/10,Currently unrated,"2046 5th St, Bethlehem, PA, 18020",Private,PK,N/A,N/A,N/A
79,Clearview Elementary School DC,0/10,Currently unrated,"2121 Abington Rd, Bethlehem, PA, 18018",Private,PK,N/A,N/A,N/A
80,My Little World Learning Center,0/10,Currently unrated,"2210 Eaton Avenue, Bethlehem, PA, 18018",Private,PK,N/A,N/A,N/A
81,Westgate Day Care,0/10,Currently unrated,"2291 Schoenersville Road, Bethlehem, PA, 18017",Private,PK,N/A,N/A,N/A
82,First Presbyterian Nursery School,0/10,Currently unrated,"2344 Center Street, Bethlehem, PA, 18017",Private,PK,N/A,N/A,N/A
83,Sayre Child Center-Monocacy,0/10,Currently unrated,"349 Hamilton Ave, Bethlehem, PA, 18017",Private,PK,N/A,N/A,N/A
84,Hanover Township Community Center,0/10,Currently unrated,"3660 Jacksonville Road, Bethlehem, PA, 18017",Private,PK,N/A,N/A,N/A
85,Thomas Jefferson Cc Program,0/10,Currently unrated,"404 East North Street, Bethlehem, PA, 18018",Private,PK,N/A,N/A,N/A
86,Lehigh Valley Cc,0/10,Currently unrated,"410 East 5th Street, Bethlehem, PA, 18015",Private,PK-K,N/A,N/A,N/A
87,Condordia Luthern CRH Day Care,0/10,Currently unrated,"418 Edward St, Bethlehem, PA, 18015",Private,PK,N/A,N/A,N/A
88,Youngsters Inc,0/10,Currently unrated,"427 Pembroke Road, Bethlehem, PA, 18018",Private,PK,N/A,N/A,N/A
89,Bethlehem Ymca,0/10,Currently unrated,"430 East Broad Street, Bethlehem, PA, 18018",Private,PK,N/A,N/A,N/A
90,Head Start LV-Lafayette,0/10,Currently unrated,"431 E Locust St, Bethlehem, PA, 18018",Private,PK,N/A,N/A,N/A
91,Head Start-St Peters,0/10,Currently unrated,"474 Vine Street, Bethlehem, PA, 18015",Private,PK,N/A,N/A,N/A
92,Lehigh Univ Child Care,0/10,Currently unrated,"5 Duh Drive, Bethlehem, PA, 18015",Private,PK,N/A,N/A,N/A
93,Funtime Day Care & Learning Center,0/10,Currently unrated,"523 South Clewell Street, Bethlehem, PA, 18015",Private,PK,N/A,N/A,N/A
