,School,Type,Grades,Total students enrolled,Students per teacher,District,Score,Rating,Address,Length
7257,"Rocky Mount Preparatory School, Inc.3334 Bishop Road, Rocky Mount, NC, 27804",Public charter,K-12,1256.0,14:1,Rocky Mount Preparatory School District,4,Below average,,1
7364,"Rrisd Early College High S4400 College Park Drive, Round Rock, TX, 78665",Public district,9-12,220.0,,Round Rock Independent School District,7,Above average,,1
7426,"St. Hope Public School 75201 Strawberry Lane, Sacramento, CA, 95820",Public charter,K-8,571.0,22:1,Sacramento City Unified School District,6,Average,,1
7509,"Beehive Science & Technology Academy (BSTA)830 E 9400 S, Salt Lake City, UT, 84094",Public charter,6-12,308.0,19:1,Beehive Science & Technology Academy (Bsta),8,Above average,,1
7536,"School Of Science And Technology -12200 Crownpoint Drive, San Antonio, TX, 78233",Public charter,K-8,430.0,19:1,School Of Science And Technology,9,Above average,,1
7567,"Paakuma K-817875 Sycamore Creek Loop Parkway, San Bernardino, CA, 92407",Public district,K-8,885.0,28:1,San Bernardino City Unified School District,5,Average,,1
7608,"Asawa (Ruth) San Francisco School Of The Arts, A Public School.555 Portola Drive, San Francisco, CA, 94131",Public district,9-12,795.0,18:1,San Francisco Unified School District,9,Above average,,1
7782,"Santa Rosa French-American Charter (Srfacs)1350 Sonoma Avenue, Santa Rosa, CA, 95405",Public charter,K-6,465.0,20:1,Santa Rosa Elementary School District,8,Above average,,1
7905,"John F. Kennedy #7Prospect Ave & Saginaw St, Scranton, PA, 18505",Public district,PK-5,407.0,15:1,Scranton School District,6,Average,,1
7906,"HOWARD GARDNER MULTIPLE INTELL1615 East Elm Street, Scranton, PA, 18505",Public charter,K-8,258.0,13:1,Howard Gardner Multiple Intelligence Cs,5,Average,,1
7907,"John Adams #4927 Capouse Avenue, Scranton, PA, 18509",Public district,PK-5,349.0,13:1,Scranton School District,5,Average,,1
7908,"Frances Willard #321100 Eynon Street, Scranton, PA, 18504",Public district,PK-5,513.0,15:1,Scranton School District,5,Average,,1
7909,"George Bancroft #341002 Albright Avenue, Scranton, PA, 18508",Public district,PK-5,244.0,10:1,Scranton School District,5,Average,,1
7911,"William Prescott #38Prescott Avenue & Myrtle St, Scranton, PA, 18510",Public district,PK-5,333.0,15:1,Scranton School District,5,Average,,1
7912,"Robert Morris #271824 Boulevard Avenue, Scranton, PA, 18509",Public district,PK-5,314.0,16:1,Scranton School District,5,Average,,1
7913,"Charles Sumner #18North Sumner Ave & Swetland St, Scranton, PA, 18504",Public district,PK-5,315.0,17:1,Scranton School District,5,Average,,1
7917,"John G Whittier #2700 Orchard Street, Scranton, PA, 18505",Public district,PK-5,672.0,11:1,Scranton School District,4,Below average,,1
7918,"Neil Armstrong #40N Lincoln Ave & Clearview St, Scranton, PA, 18508",Public district,PK-5,608.0,16:1,Scranton School District,4,Below average,,1
7952,"Catharine Blaine K-82550 34th Avenue West, Seattle, WA, 98199",Public district,K-8,782.0,21:1,Seattle Public Schools,8,Above average,,1
7953,"Ae #2 (Decatur)7712 40th Avenue Northeast, Seattle, WA, 98115",Public district,PK-5,533.0,19:1,Seattle Public Schools,8,Above average,,1
