,School,Score,Rating,Address,Type,Grades,Total Students Enrolled,Students per teacher,District
0,Jones College Prep High School,10/10,Top rated,"700 South State Street, Chicago, IL, 60605",Public district,9-12,1861,17:1,City Of Chicago School District 299
1,Northside College Preparatory High School,10/10,Top rated,"5501 North Kedzie Avenue, Chicago, IL, 60625",Public district,9-12,1061,16:1,City Of Chicago School District 299
2,Payton College Preparatory High School,10/10,Top rated,"1034 North Wells Street, Chicago, IL, 60610",Public district,9-12,1073,15:1,City Of Chicago School District 299
3,Devry Advantage Academy High School,10/10,Top rated,"3300 North Campbell Avenue, Chicago, IL, 60618",Public district,11-12,193,18:1,City Of Chicago School District 299
4,Westinghouse High School,9/10,Above average,"3223 West Franklin Boulevard, Chicago, IL, 60624",Public district,9-12,1192,16:1,City Of Chicago School District 299
5,Chicago Bulls College Prep,9/10,Above average,"2040 W. Adams St., Chicago, IL, 60612",Public charter,9-12,1136,19:1,City Of Chicago School District 299
6,UIC College Prep,9/10,Above average,"1231 S. Damen Ave., Chicago, IL, 60608",Public charter,9-12,939,19:1,City Of Chicago School District 299
7,King College Prep High School,9/10,Above average,"4445 South Drexel Boulevard, Chicago, IL, 60653",Public district,9-12,599,15:1,City Of Chicago School District 299
8,BACK OF THE YARDS IB HS,9/10,Above average,"2111 West 47th Street, Chicago, IL, 60609",Public district,9-12,1064,14:1,City Of Chicago School District 299
9,Hancock College Preparatory High School,9/10,Above average,"4034 West 56th Street, Chicago, IL, 60629",Public district,9-12,967,17:1,City Of Chicago School District 299
10,Chicago High School For Agricult Sciences,9/10,Above average,"3857 West 111th Street, Chicago, IL, 60655",Public district,9-12,718,16:1,City Of Chicago School District 299
11,Lenart Elementary Regional Gifted Center,9/10,Above average,"8101 South La Salle Street, Chicago, IL, 60620",Public district,PK-8,284,18:1,City Of Chicago School District 299
12,Phoenix Military Academy High School,9/10,Above average,"145 South Campbell Avenue, Chicago, IL, 60612",Public district,9-12,532,17:1,City Of Chicago School District 299
13,Columbus Elementary School,8/10,Above average,"1003 North Leavitt Street, Chicago, IL, 60622",Public district,PK-8,285,19:1,City Of Chicago School District 299
14,CICS Northtown,8/10,Above average,"3900 W. Peterson, Chicago, IL, 60659",Public charter,9-12,917,14:1,City Of Chicago School District 299
15,Walt Disney Magnet School,8/10,Above average,"4140 North Marine Drive, Chicago, IL, 60613",Public district,PK-8,1572,19:1,City Of Chicago School District 299
16,Chicago High School For The Arts,8/10,Above average,"2714 West Augusta Boulevard, Chicago, IL, 60622",Public district,9-12,612,14:1,City Of Chicago School District 299
17,Goode Stem Academy High School,8/10,Above average,"7651 South Homan Avenue, Chicago, IL, 60652",Public district,9-12,903,15:1,City Of Chicago School District 299
18,Ebinger Elementary School,8/10,Above average,"7350 West Pratt Avenue, Chicago, IL, 60631",Public district,K-8,831,20:1,City Of Chicago School District 299
19,Golder College Prep,8/10,Above average,"1454 W. Superior St., Chicago, IL, 60642",Public charter,9-12,662,19:1,City Of Chicago School District 299
20,Muchin College Prep,8/10,Above average,"1 N. State St., Chicago, IL, 60602",Public charter,9-12,956,19:1,City Of Chicago School District 299
21,Haines Elementary School,8/10,Above average,"247 West 23rd Place, Chicago, IL, 60616",Public district,PK-8,687,19:1,City Of Chicago School District 299
22,Hawthorne Elementary Scholastic Academy,8/10,Above average,"3319 North Clifton Avenue, Chicago, IL, 60657",Public district,K-8,567,16:1,City Of Chicago School District 299
23,Healy Elementary School,8/10,Above average,"3010 South Parnell Avenue, Chicago, IL, 60616",Public district,PK-8,1420,18:1,City Of Chicago School District 299
24,Keller Elementary Gifted Magnet School,8/10,Above average,"3020 West 108th Street, Chicago, IL, 60655",Public district,1-8,242,19:1,City Of Chicago School District 299
25,Poe Elementary Classical School,8/10,Above average,"10538 South Langley Avenue, Chicago, IL, 60628",Public district,K-6,208,16:1,City Of Chicago School District 299
26,Kinzie Elementary School,8/10,Above average,"5625 South Mobile Avenue, Chicago, IL, 60638",Public district,PK-8,687,16:1,City Of Chicago School District 299
27,Lincoln Elementary School,8/10,Above average,"615 West Kemper Place, Chicago, IL, 60614",Public district,K-8,897,19:1,City Of Chicago School District 299
28,Horizon Science Academy-Mckinley Park,8/10,Above average,"2245 W. Pershing Rd., Chicago, IL, 60609",Public charter,K-12,790,13:1,Horizon Science Acad-Mckinley Pk
29,Oriole Park Elementary School,8/10,Above average,"5424 North Oketo Ave, Chicago, IL, 60656",Public district,PK-8,751,17:1,City Of Chicago School District 299
30,CRANE MEDICAL PREP HS,8/10,Above average,"2245 West Jackson Boulevard, Chicago, IL, 60612",Public district,9-12,481,15:1,City Of Chicago School District 299
31,Ravenswood Elementary School,8/10,Above average,"4332 North Paulina St, Chicago, IL, 60613",Public district,PK-8,547,16:1,City Of Chicago School District 299
32,Sauganash Elementary School,8/10,Above average,"6040 North Kilpatrick Avenue, Chicago, IL, 60646",Public district,K-8,605,19:1,City Of Chicago School District 299
33,Sheridan Elementary Math & Science Academy,8/10,Above average,"533 West 27th Street, Chicago, IL, 60616",Public district,K-8,560,18:1,City Of Chicago School District 299
34,Skinner Elementary School,8/10,Above average,"111 South Throop Street, Chicago, IL, 60607",Public district,PK-8,1100,20:1,City Of Chicago School District 299
35,Ward  J Elementary School,8/10,Above average,"2701 South Shields Avenue, Chicago, IL, 60616",Public district,PK-8,587,19:1,City Of Chicago School District 299
36,Dirksen Elementary School,8/10,Above average,"8601 West Foster Avenue, Chicago, IL, 60656",Public district,PK-8,944,19:1,City Of Chicago School District 299
37,Burley Elementary School,8/10,Above average,"1630 West Barry Avenue, Chicago, IL, 60657",Public district,PK-8,533,16:1,City Of Chicago School District 299
38,Disney Ii Elementary School,8/10,Above average,"3815 North Kedvale Avenue, Chicago, IL, 60641",Public district,PK-6,431,6:1,City Of Chicago School District 299
39,Canty Elementary School,8/10,Above average,"3740 North Panama Avenue, Chicago, IL, 60634",Public district,PK-8,855,19:1,City Of Chicago School District 299
40,Chappell Elementary School,7/10,Above average,"2135 West Foster Avenue, Chicago, IL, 60625",Public district,PK-8,572,15:1,City Of Chicago School District 299
41,Carver Military Academy High School,7/10,Above average,"13100 South Doty Avenue, Chicago, IL, 60827",Public district,9-12,479,16:1,City Of Chicago School District 299
42,Coonley Elementary School,7/10,Above average,"4046 North Leavitt Street, Chicago, IL, 60618",Public district,K-8,1008,18:1,City Of Chicago School District 299
43,CICS Washington Park,7/10,Above average,"110 E. 61st St., Chicago, IL, 60637",Public charter,K-8,458,16:1,City Of Chicago School District 299
44,Decatur Classical Elementary School,7/10,Above average,"7030 North Sacramento Avenue, Chicago, IL, 60645",Public district,K-6,281,18:1,City Of Chicago School District 299
45,Azuela Elementary School,7/10,Above average,"4707 West Marquette Road, Chicago, IL, 60629",Public district,PK-8,888,19:1,City Of Chicago School District 299
46,Nkrumah Academy Elementary School,7/10,Above average,"314 West 108th Street, Chicago, IL, 60628",Public charter,K-8,178,18:1,City Of Chicago School District 299
47,Stem Magnet Academy Elementary,7/10,Above average,"1522 West Fillmore Street , Chicago, IL, 60607",Public district,K-8,435,14:1,City Of Chicago School District 299
48,Urban Prep Chtr South Shore High School,7/10,Above average,"521 East 35th Street, Chicago, IL, 60653",Public charter,9-12,316,19:1,City Of Chicago School District 299
49,Young Magnet High School,7/10,Above average,"211 South Laflin Street, Chicago, IL, 60607",Public district,7-12,2157,18:1,City Of Chicago School District 299
50,Dore Elementary School,7/10,Above average,"6108 South Natoma Avenue, Chicago, IL, 60638",Public district,PK-8,713,17:1,City Of Chicago School District 299
51,Everett Elementary School,7/10,Above average,"3419 South Bell Avenue, Chicago, IL, 60608",Public district,PK-5,200,15:1,City Of Chicago School District 299
52,Pritzker College Prep,7/10,Above average,"4131 W. Cortland Ave., Chicago, IL, 60639",Public charter,9-12,985,20:1,City Of Chicago School District 299
53,Fernwood Elementary School,7/10,Above average,"10041 South Union Avenue, Chicago, IL, 60628",Public district,PK-8,301,18:1,City Of Chicago School District 299
54,Hamilton Elementary School,7/10,Above average,"1650 West Cornelia Ave, Chicago, IL, 60657",Public district,PK-8,481,15:1,City Of Chicago School District 299
55,Earhart Elementary Opt For Knowl School,7/10,Above average,"1710 East 93rd Street, Chicago, IL, 60617",Public district,K-8,239,19:1,City Of Chicago School District 299
56,Mayer Elementary School,7/10,Above average,"2250 North Clifton Avenue, Chicago, IL, 60614",Public district,PK-8,766,17:1,City Of Chicago School District 299
57,Mount Greenwood Elementary School,7/10,Above average,"10841 South Homan Avenue, Chicago, IL, 60655",Public district,K-8,1124,20:1,City Of Chicago School District 299
58,Noble Academy,7/10,Above average,"1443 N Odgen, Chicago, IL, 60602",Public charter,9,489,19:1,City Of Chicago School District 299
59,Horizon Science Academy-Belmont,7/10,Above average,"2456 North Mango Avenue, Chicago, IL, 60639",Public charter,K-8,516,14:1,Horizon Science Acad-Belmont
60,Rogers Elementary School,7/10,Above average,"7345 North Washtenaw Avenue, Chicago, IL, 60645",Public district,PK-8,787,16:1,City Of Chicago School District 299
61,Solomon Elementary School,7/10,Above average,"6206 North Hamlin Avenue, Chicago, IL, 60659",Public district,PK-8,348,15:1,City Of Chicago School District 299
62,Stone Elementary Scholastic Academy,7/10,Above average,"6239 North Leavitt Street, Chicago, IL, 60659",Public district,K-8,627,15:1,City Of Chicago School District 299
63,Von Steuben Metro Science High School,7/10,Above average,"5039 North Kimball Avenue, Chicago, IL, 60625",Public district,9-12,1726,17:1,City Of Chicago School District 299
64,Armstrong G Elementary Intl Studies,7/10,Above average,"2110 West Greenleaf Avenue, Chicago, IL, 60645",Public district,PK-8,1419,17:1,City Of Chicago School District 299
65,Zapata Elementary Academy,7/10,Above average,"2728 South Kostner Avenue, Chicago, IL, 60623",Public district,PK-8,779,16:1,City Of Chicago School District 299
66,Edison Elementary Regional Gifted Center,7/10,Above average,"4929 North Sawyer Avenue, Chicago, IL, 60625",Public district,K-8,271,15:1,City Of Chicago School District 299
67,Casals Elementary School,7/10,Above average,"3501 West Potomac Avenue, Chicago, IL, 60651",Public district,PK-8,442,15:1,City Of Chicago School District 299
68,Columbia Explorers Elementary Academy,7/10,Above average,"4520 South Kedzie Avenue, Chicago, IL, 60632",Public district,PK-8,1065,18:1,City Of Chicago School District 299
69,Rickover Naval Academy High School,7/10,Above average,"5900 North Glenwood Avenue, Chicago, IL, 60660",Public district,9-12,555,14:1,City Of Chicago School District 299
70,Bell Elementary School,7/10,Above average,"3730 North Oakley Avenue, Chicago, IL, 60618",Public district,K-8,958,17:1,City Of Chicago School District 299
71,Brennemann Elementary School,7/10,Above average,"4251 North Clarendon Avenue, Chicago, IL, 60613",Public district,PK-8,436,16:1,City Of Chicago School District 299
72,Budlong Elementary School,7/10,Above average,"2701 West Foster Avenue, Chicago, IL, 60625",Public district,PK-8,772,16:1,City Of Chicago School District 299
73,Turner-Drew Elementary Language Academy,7/10,Above average,"9300 South Princeton Avenue, Chicago, IL, 60620",Public district,K-8,248,17:1,City Of Chicago School District 299
74,Cassell Elementary School,7/10,Above average,"11314 South Spaulding Avenue, Chicago, IL, 60655",Public district,K-8,411,16:1,City Of Chicago School District 299
75,Prosser Career Academy High School,6/10,Average,"2148 North Long Avenue, Chicago, IL, 60639",Public district,9-12,1395,16:1,City Of Chicago School District 299
76,CICS Avalon,6/10,Average,"1501 E. 83rd Place, Chicago, IL, 60619",Public charter,K-8,478,15:1,City Of Chicago School District 299
77,Skinner North Elementary School,6/10,Average,"640 West Scott Street, Chicago, IL, 60610",Public district,K-8,494,18:1,City Of Chicago School District 299
78,Ogden Int High School,6/10,Average,"1250 West Erie Street, Chicago, IL, 60642",Public district,6-12,890,8:1,City Of Chicago School District 299
79,Dever Elementary School,6/10,Average,"3436 North Osceola Avenue, Chicago, IL, 60634",Public district,PK-8,780,17:1,City Of Chicago School District 299
80,Air Force Academy High School,6/10,Average,"3630 South Wells Street, Chicago, IL, 60609",Public district,9-12,261,11:1,City Of Chicago School District 299
81,Alcott College Prep,6/10,Average,"2957 North Hoyne Avenue, Chicago, IL, 60618",Public district,9-12,311,5:1,City Of Chicago School District 299
82,South Shore Intl Col Prep High School,6/10,Average,"1955 East 75th Street, Chicago, IL, 60649",Public district,9-12,648,16:1,City Of Chicago School District 299
83,Drummond Elementary School,6/10,Average,"1845 West Cortland St, Chicago, IL, 60622",Public district,PK-8,349,17:1,City Of Chicago School District 299
84,Farnsworth Elementary School,6/10,Average,"5414 North Linder Avenue, Chicago, IL, 60630",Public district,PK-8,604,15:1,City Of Chicago School District 299
85,Garvy  J Elementary School,6/10,Average,"5225 North Oak Park Avenue, Chicago, IL, 60656",Public district,K-8,831,19:1,City Of Chicago School District 299
86,Greeley Elementary School,6/10,Average,"832 West Sheridan Road, Chicago, IL, 60613",Public district,PK-8,570,15:1,City Of Chicago School District 299
87,Hayt Elementary School,6/10,Average,"1518 West Granville Avenue, Chicago, IL, 60660",Public district,PK-8,1010,16:1,City Of Chicago School District 299
88,Hibbard Elementary School,6/10,Average,"3244 West Ainslie Street, Chicago, IL, 60625",Public district,PK-6,994,17:1,City Of Chicago School District 299
89,Holden Elementary School,6/10,Average,"1104 West 31st Street, Chicago, IL, 60608",Public district,PK-8,506,15:1,City Of Chicago School District 299
90,Jackson A Elementary Language Academy,6/10,Average,"1340 West Harrison Street, Chicago, IL, 60607",Public district,K-8,550,16:1,City Of Chicago School District 299
91,Jahn Elementary School,6/10,Average,"3149 North Wolcott Avenue, Chicago, IL, 60657",Public district,PK-8,309,13:1,City Of Chicago School District 299
92,Kellogg Elementary School,6/10,Average,"9241 South Leavitt Street, Chicago, IL, 60643",Public district,K-8,256,14:1,City Of Chicago School District 299
93,Kipling Elementary School,6/10,Average,"9351 South Lowe Avenue, Chicago, IL, 60620",Public district,K-8,294,17:1,City Of Chicago School District 299
94,Wildwood Elementary School,6/10,Average,"6950 North Hiawatha Avenue, Chicago, IL, 60646",Public district,K-8,494,16:1,City Of Chicago School District 299
95,Kenwood Academy High School,6/10,Average,"5015 South Blackstone Avenue, Chicago, IL, 60615",Public district,7-12,1756,17:1,City Of Chicago School District 299
96,Lane Technical High School,6/10,Average,"2501 West Addison Street, Chicago, IL, 60618",Public district,7-12,4429,19:1,City Of Chicago School District 299
97,Mcdade Elementary Classical School,6/10,Average,"8801 South Indiana Avenue, Chicago, IL, 60619",Public district,K-6,195,16:1,City Of Chicago School District 299
98,Inter-American Elementary Magnet School,6/10,Average,"851 West Waveland Avenue, Chicago, IL, 60613",Public district,PK-8,711,17:1,City Of Chicago School District 299
99,Nettelhorst Elementary School,6/10,Average,"3252 North Broadway, Chicago, IL, 60657",Public district,PK-8,794,17:1,City Of Chicago School District 299
100,Norwood Park Elementary School,6/10,Average,"5900 North Nina Ave, Chicago, IL, 60631",Public district,PK-8,434,18:1,City Of Chicago School District 299
101,ITW David Speer Academy,6/10,Average,"5321 W. Grand Ave., Chicago, IL, 60639",Public charter,9-12,1014,24:1,City Of Chicago School District 299
102,INTRINSIC CHARTER HIGH SCHOOL,6/10,Average,"4540 West Belmont Avenue, Chicago, IL, 60641",Public charter,7-12,1010,16:1,City Of Chicago School District 299
103,Palmer Elementary School,6/10,Average,"5051 North Kenneth Avenue, Chicago, IL, 60630",Public district,PK-8,804,17:1,City Of Chicago School District 299
104,Plamondon Elementary School,6/10,Average,"2642 West 15th Place, Chicago, IL, 60608",Public district,K-8,139,13:1,City Of Chicago School District 299
105,Pulaski International School of Chicago,6/10,Average,"2230 West McLean Avenue, Chicago, IL, 60647",Public district,PK-8,927,18:1,City Of Chicago School District 299
106,Scammon Elementary School,6/10,Average,"4201 West Henderson St, Chicago, IL, 60641",Public district,PK-8,747,16:1,City Of Chicago School District 299
107,Tonti Elementary School,6/10,Average,"5815 South Homan Avenue, Chicago, IL, 60629",Public district,PK-5,1052,17:1,City Of Chicago School District 299
108,Waters Elementary School,6/10,Average,"4540 N. Campbell Ave, Chicago, IL, 60625",Public district,K-8,626,18:1,City Of Chicago School District 299
109,Warren Elementary School,6/10,Average,"9239 South Jeffery Avenue, Chicago, IL, 60617",Public district,PK-8,234,17:1,City Of Chicago School District 299
110,Lincoln Park High School,6/10,Average,"2001 North Orchard Street, Chicago, IL, 60614",Public district,9-12,2113,16:1,City Of Chicago School District 299
111,Orozco Elementary Fine Arts & Sciences,6/10,Average,"1940 West 18th St, Chicago, IL, 60608",Public district,PK-8,539,15:1,City Of Chicago School District 299
112,Albany Park Multicultural Elementary School,6/10,Average,"4929 North Sawyer Avenue, Chicago, IL, 60625",Public district,7-8,291,15:1,City Of Chicago School District 299
113,South Loop Elementary School,6/10,Average,"1212 South Plymouth Court, Chicago, IL, 60605",Public district,K-8,785,18:1,City Of Chicago School District 299
114,Galileo Elementary Math & Sci Schol Acd,6/10,Average,"820 South Carpenter Street, Chicago, IL, 60607",Public district,K-8,571,17:1,City Of Chicago School District 299
115,Chicago Military Academy High School,6/10,Average,"3519 South Giles Avenue, Chicago, IL, 60653",Public district,9-12,309,14:1,City Of Chicago School District 299
116,Chicago Academy Elementary School,6/10,Average,"3400 North Austin Avenue, Chicago, IL, 60634",Public district,PK-8,603,18:1,City Of Chicago School District 299
117,Talman Elementary School,6/10,Average,"5450 South Talman Avenue, Chicago, IL, 60632",Public district,PK-8,436,16:1,City Of Chicago School District 299
118,CICS Basil,6/10,Average,"1816 W. Garfield Blvd., Chicago, IL, 60609",Public charter,PK-8,736,13:1,City Of Chicago School District 299
119,Chicago Math & Sci Elementary Charter,6/10,Average,"7212 North Clark Street, Chicago, IL, 60626",Public charter,6-12,596,12:1,City Of Chicago School District 299
120,Bronzeville Scholastic High School,6/10,Average,"4934 South Wabash Avenue, Chicago, IL, 60615",Public district,9-12,321,15:1,City Of Chicago School District 299
121,Infinity Math  Science & Tech High School,6/10,Average,"3120 South Kostner Avenue, Chicago, IL, 60623",Public district,9-12,417,15:1,City Of Chicago School District 299
122,Audubon Elementary School,6/10,Average,"3500 North Hoyne Avenue, Chicago, IL, 60618",Public district,PK-8,572,16:1,City Of Chicago School District 299
123,Beaubien Elementary School,6/10,Average,"5025 North Laramie Avenue, Chicago, IL, 60630",Public district,PK-8,1096,19:1,City Of Chicago School District 299
124,Blaine Elementary School,6/10,Average,"1420 West Grace Street, Chicago, IL, 60613",Public district,PK-8,885,18:1,City Of Chicago School District 299
125,Bridge Elementary School,6/10,Average,"3800 North New England Avenue, Chicago, IL, 60634",Public district,PK-8,1115,18:1,City Of Chicago School District 299
126,Lasalle II Lang Acad Elementary School,6/10,Average,"1148 N Honore St, Chicago, IL, 60622",Public district,PK-8,590,15:1,City Of Chicago School District 299
127,Burroughs Elementary School,6/10,Average,"3542 South Washtenaw Avenue, Chicago, IL, 60632",Public district,PK-8,473,18:1,City Of Chicago School District 299
128,Chase Elementary School,5/10,Average,"2021 North Point Street, Chicago, IL, 60647",Public district,PK-8,415,13:1,City Of Chicago School District 299
129,Cleveland Elementary School,5/10,Average,"3121 West Byron Street, Chicago, IL, 60618",Public district,PK-8,558,14:1,City Of Chicago School District 299
130,Clinton Elementary School,5/10,Average,"6110 North Fairfield Avenue, Chicago, IL, 60659",Public district,PK-8,1223,18:1,City Of Chicago School District 299
131,Cooper Elementary Dual Language Academy,5/10,Average,"1624 West 19th Street, Chicago, IL, 60608",Public district,PK-5,457,14:1,City Of Chicago School District 299
132,Dawes Elementary School,5/10,Average,"3810 West 81st Place, Chicago, IL, 60652",Public district,PK-8,987,17:1,City Of Chicago School District 299
133,West Ridge Elementary School,5/10,Average,"6700 North Whipple Street, Chicago, IL, 60645",Public district,PK-8,837,18:1,City Of Chicago School District 299
134,Garcia Lorca Elementary School,5/10,Average,"3231 North Springfield Avenue, Chicago, IL, 60618",Public district,PK-8,828,18:1,City Of Chicago School District 299
135,Williams Medical Prep High School,5/10,Average,"4934 South Wabash Avenue, Chicago, IL, 60615",Public district,9-12,231,12:1,City Of Chicago School District 299
136,Catalyst Maria Charter School,5/10,Average,"6727 South California Ave, Chicago, IL, 60629",Public charter,K-12,1071,14:1,City Of Chicago School District 299
137,Dixon Elementary School,5/10,Average,"8306 South Saint Lawrence Avenue, Chicago, IL, 60619",Public district,PK-8,562,20:1,City Of Chicago School District 299
138,Gunsaulus Elementary Scholastic Academy,5/10,Average,"4420 South Sacramento Avenue, Chicago, IL, 60632",Public district,PK-8,814,18:1,City Of Chicago School District 299
139,Simeon Career Academy High School,5/10,Average,"8147 South Vincennes Avenue, Chicago, IL, 60620",Public district,9-12,1335,19:1,City Of Chicago School District 299
140,Rauner College Prep,5/10,Average,"1337 W. Ohio St. , Chicago, IL, 60642",Public charter,9-12,633,17:1,City Of Chicago School District 299
141,Butler College Prep,5/10,Average,"821 E. 103rd St., Chicago, IL, 60628",Public charter,9,647,17:1,City Of Chicago School District 299
142,Agassiz Elementary School,5/10,Average,"2851 North Seminary Avenue, Chicago, IL, 60657",Public district,PK-8,464,12:1,City Of Chicago School District 299
143,Franklin Elementary Fine Arts Center,5/10,Average,"225 West Evergreen Avenue, Chicago, IL, 60610",Public district,K-8,373,15:1,City Of Chicago School District 299
144,Goudy Elementary School,5/10,Average,"5120 North Winthrop Avenue, Chicago, IL, 60640",Public district,PK-8,717,16:1,City Of Chicago School District 299
145,Alcott College Prep,5/10,Average,"2625 North Orchard Street, Chicago, IL, 60614",Public district,PK-8,630,10:1,City Of Chicago School District 299
146,Hendricks Elementary Community Academy,5/10,Average,"4316 South Princeton Avenue, Chicago, IL, 60609",Public district,PK-8,241,13:1,City Of Chicago School District 299
147,Mcdowell Elementary School,5/10,Average,"1419 East 89th Street, Chicago, IL, 60619",Public district,PK-5,155,15:1,City Of Chicago School District 299
148,Henry Elementary School,5/10,Average,"4250 North Saint Louis Avenue, Chicago, IL, 60618",Public district,PK-6,524,17:1,City Of Chicago School District 299
149,Hurley Elementary School,5/10,Average,"3849 West 69th Place, Chicago, IL, 60629",Public district,PK-8,834,18:1,City Of Chicago School District 299
150,Jungman Elementary School,5/10,Average,"1746 South Miller Street, Chicago, IL, 60608",Public district,PK-8,282,12:1,City Of Chicago School District 299
151,Lozano Elementary Bilingual & Intl Center,5/10,Average,"1501 North Greenview Avenue, Chicago, IL, 60642",Public district,PK-8,203,12:1,City Of Chicago School District 299
152,Linne Elementary School,5/10,Average,"3221 North Sacramento Ave, Chicago, IL, 60618",Public district,PK-8,665,17:1,City Of Chicago School District 299
153,Lyon Elementary School,5/10,Average,"2941 North McVicker Avenue, Chicago, IL, 60634",Public district,K-8,1411,18:1,City Of Chicago School District 299
154,McPherson Elementary School,5/10,Average,"4728 North Wolcott Avenue, Chicago, IL, 60640",Public district,PK-8,692,13:1,City Of Chicago School District 299
155,Talcott Elementary School,5/10,Average,"1840 West Ohio Street, Chicago, IL, 60622",Public district,PK-8,502,13:1,City Of Chicago School District 299
156,Mitchell Elementary School,5/10,Average,"2233 West Ohio Street, Chicago, IL, 60612",Public district,PK-8,400,16:1,City Of Chicago School District 299
157,Murphy Elementary School,5/10,Average,"3539 West Grace Street, Chicago, IL, 60618",Public district,PK-8,521,14:1,City Of Chicago School District 299
158,Newberry Elementary Math & Science Academy,5/10,Average,"700 West Willow Street, Chicago, IL, 60614",Public district,PK-8,566,16:1,City Of Chicago School District 299
159,Nobel Elementary School,5/10,Average,"4127 West Hirsch Street, Chicago, IL, 60651",Public district,PK-8,776,17:1,City Of Chicago School District 299
160,KIPP Bloom Charter Elementary School,5/10,Average,"5515 South Lowe Ave, Chicago, IL, 60621",Public charter,5,352,17:1,City Of Chicago School District 299
161,Disney Ii Magnet High School,5/10,Average,"3900 Lawndale Avenue, Chicago, IL, 60618",Public district,7-12,711,10:1,City Of Chicago School District 299
162,LEARN Excel,5/10,Average,"3021 W. Carroll Ave., Chicago, IL, 60612",Public charter,K-5,450,11:1,City Of Chicago School District 299
163,Onahan Elementary School,5/10,Average,"6634 West Raven Street, Chicago, IL, 60631",Public district,PK-8,655,19:1,City Of Chicago School District 299
164,Owen Elementary Scholastic Academy,5/10,Average,"8247 South Christiana Avenue, Chicago, IL, 60652",Public district,K-8,268,17:1,City Of Chicago School District 299
165,Southeast Area Elementary School,5/10,Average,"3930 East 105th Street, Chicago, IL, 60617",Public district,PK-6,517,16:1,City Of Chicago School District 299
166,Pickard Elementary School,5/10,Average,"2301 West 21st Place, Chicago, IL, 60608",Public district,PK-8,443,17:1,City Of Chicago School District 299
167,Portage Park Elementary School,5/10,Average,"5330 W Berteau Ave, Chicago, IL, 60641",Public district,PK-8,950,18:1,City Of Chicago School District 299
168,Prescott Elementary School,5/10,Average,"1632 West Wrightwood Avenue, Chicago, IL, 60614",Public district,PK-8,432,17:1,City Of Chicago School District 299
169,Prussing Elementary School,5/10,Average,"4650 North Menard Avenue, Chicago, IL, 60630",Public district,PK-8,734,18:1,City Of Chicago School District 299
170,Reinberg Elementary School,5/10,Average,"3425 North Major Avenue, Chicago, IL, 60634",Public district,PK-8,794,14:1,City Of Chicago School District 299
171,Smyser Elementary School,5/10,Average,"4310 North Melvina Avenue, Chicago, IL, 60634",Public district,PK-8,939,18:1,City Of Chicago School District 299
172,Thorp O A Elementary Scholastic Academy,5/10,Average,"6024 W Warwick Ave, Chicago, IL, 60634",Public district,K-8,848,16:1,City Of Chicago School District 299
173,Twain Elementary School,5/10,Average,"5134 South Lotus Avenue, Chicago, IL, 60638",Public district,PK-8,1133,19:1,City Of Chicago School District 299
174,Walsh Elementary School,5/10,Average,"2015 South Peoria Street, Chicago, IL, 60608",Public district,PK-8,352,16:1,City Of Chicago School District 299
175,Pritzker Elementary School,5/10,Average,"2009 West Schiller Street, Chicago, IL, 60622",Public district,PK-8,743,17:1,City Of Chicago School District 299
176,Whitney Elementary School,5/10,Average,"2815 South Komensky Avenue, Chicago, IL, 60623",Public district,PK-8,986,18:1,City Of Chicago School District 299
177,Lee Elementary School,5/10,Average,"6448 South Tripp Avenue, Chicago, IL, 60629",Public district,PK-8,864,19:1,City Of Chicago School District 299
178,Brooks College Prep Academy High School,5/10,Average,"250 East 111th Street, Chicago, IL, 60628",Public district,7-12,962,18:1,City Of Chicago School District 299
179,Ruiz Elementary School,5/10,Average,"2410 South Leavitt Street, Chicago, IL, 60608",Public district,PK-8,698,15:1,City Of Chicago School District 299
180,Carson Elementary School,5/10,Average,"5516 South Maplewood Avenue, Chicago, IL, 60629",Public district,PK-8,1099,19:1,City Of Chicago School District 299
181,Charles J Sahs Elementary School,5/10,Average,"5001 Long Avenue, Chicago, IL, 60638",Public district,PK-8,390,14:1,Central Stickney School District 110
182,Locke A Elementary Charter Academy,5/10,Average,"3141 West Jackson Boulevard, Chicago, IL, 60612",Public charter,PK-8,499,16:1,City Of Chicago School District 299
183,Sandoval Elementary School,5/10,Average,"5534 South Saint Louis Avenue, Chicago, IL, 60629",Public district,PK-5,972,19:1,City Of Chicago School District 299
184,Colemon J Elementary Academy,5/10,Average,"1441 West 119th Street, Chicago, IL, 60643",Public district,PK-8,252,16:1,City Of Chicago School District 299
185,North River Elementary School,5/10,Average,"4416 North Troy Street, Chicago, IL, 60625",Public district,PK-8,319,15:1,City Of Chicago School District 299
186,Chicago Academy High School,5/10,Average,"3400 North Austin Avenue, Chicago, IL, 60634",Public district,9-12,542,15:1,City Of Chicago School District 299
187,Clark Academy Prep Magnet High School,5/10,Average,"5101 West Harrison Street, Chicago, IL, 60644",Public district,9-12,542,17:1,City Of Chicago School District 299
188,Erie Elementary Charter School,5/10,Average,"1405 North Washtenaw Avenue, Chicago, IL, 60622",Public charter,K-8,417,9:1,City Of Chicago School District 299
189,Lindblom Math & Science Academy High School,5/10,Average,"6130 South Wolcott Avenue, Chicago, IL, 60636",Public district,7-12,1325,16:1,City Of Chicago School District 299
190,Bateman Elementary School,5/10,Average,"4220 N Richmond St, Chicago, IL, 60618",Public district,PK-8,1008,17:1,City Of Chicago School District 299
