,Job Title,Company,Location,Posting Date,Extract Date,Summary,Salary,Job Url,id
0,Senior Accountant,Juice Generation,"New York, NY",12 days ago,2021-03-23,"Lead monthly financial reviews with senior operations team.
Assist in the annual review process with external firm.
Bachelor’s degree in Accounting.",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bi-5CQquOZTqmyEimDJBNcBWnpgMujUg8xT5LcFJhBGBe3WQpTBLr6DfxWqLWhBjtfIDhNQHFXaWI0on-fRcjx7MbNuXpuzGHeSn7JpuGylbWbszEJ9-T2TzpijP6zegbuihU7r54rmumrlZwxbEcME3aRWf4xs7JE4qfmfArnjYiGwWAXCdmk453JkSOnjCOfaSS9M7c0gu06l1k5bViNr3MCx_t0VkE_mkk8ZuuSwB5cdwW4pnB-aMv7M_PN3OzD7V5y6CHhPbWZGoMxsfJgKiZ2FPO517hwkmWXO-dgdpIvjc1LflXtGQCLJErcRRhmNmJVyG8jOwqWb2xMqcITU638s5A5bPmDWH85yM7JIubBxzKKjuV2UJjEkc7LIn2hBndYBVRkI6YxKNIZTh2kk0ZMhLzS5ZlpjZBTTgWyawVHyTLpSxbguYqLCI3LvY0vayKHpG_MQSspAijcfUQR&p=0&fvj=1&vjs=3,0
1,Senior Accountant,Quality Branded,"New York, NY",30+ days ago,2021-03-23,"Prepare sales tax and commercial rent tax schedules and file tax payments monthly and quarterly.
Perform the reconciliation of bank accounts and credit card…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D99gI1XJg_GMoUcn54cXo4g5bXz-pkVE046ORhrmNjwDnnCWDys6Lu4eiQgNXPyhjDhihmTlDOtcCxWfzbq4Ik3EEO9sE88MPNZuiB1xkPipE6htOv07I3yiWWcr_yY68_0KWDsvn9_u57KTSghKFK7o4nx1k8TcE_RhypoXXZC0JzD5MDclfQhjt8WUZ1EboppXNfP3YAaUCpL_-U1ytqdqgKqA8Qi1-1G8msSXpE_ystH7CXFt4iptzSl9vIdbT8AtACmt14-3AJ89RC_Jf2NosvxFWpE0Q1XJP5s-FjxqyHMsu7F3FD-EMncjCSnh9q8TMMG7IB-g_z4Id_5xlu3tDnA0nAgEVpj-lpqiTuFf10cZnhFUw0RvhDmgsdsjL1tCLrQMTavfRQz8r-WClrGhjEy5GWVhI7FdkW5WSYPzNJsW5Dr2gng58RDXzY9QGG5uRp-dTfs6ceBA7bOUie&p=1&fvj=1&vjs=3,1
2,Real Estate Senior Accountant,Confidential Real Estate Investment Company privately owned,"New York, NY",6 days ago,2021-03-23,"Accounts Payable – code, post and pay all vendor bills, including payment of property real estate taxes, writing/printing manual and computer checks.",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CAzFkv4M0p_YowhXyk77TKcZ14obE_jZ_DVNfoeWqjgpshXEVak2UcZvyooE7lb6NPPKYQAxl2qCFuo9FPhddYuwQFyKwnBDBA0qGO7Af7-h5JxOr2dc_0sW8NLARNIwYtM3DY-x1A0GVf47EdCm7yleF9HK6L-umMJSlbWVRiQlcQMz46GKs_HbzcGEw0bz14IzYoFIKvZPrDKVeE_vMN8WqNDnKdsB_J64IkwPMnRCb5Ct935XzLnZrfCFNZ7ma_hx0hxbNXYG-fnASPlF3CykgMx9H6woreqPXgx8j2nbwtYYA0m_fYeFUGslzM-CE_EJWulz7b6FXYE5QWN1LHB3RwFl_1SJA2O1I9Xre0jz8Cbxfbm4GOTPO4xeLEd86Q3iWHFqxq-vsMQHVQgJ7gfYV6wTI3nxFRYSa71JDTRXRvO2UIWE6ro9UvGKTVX9oZ-TMLrn0obdTl1xMHSbwMAeVyQVjEZwc=&p=2&fvj=1&vjs=3,2
3,Senior Fund Accountant OR Assistant Controller,Large Hedge and Private Equity Fund,"New York, NY",30+ days ago,2021-03-23,"Review the portfolio companies to be acquired acquiring.
Records the journal entries for management fees, investments, accruals, other expense/income, valuation…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B2fBwIYhLX4r0C6A88f364H1rwUTQ-tkZvyqI1v8WDLLnX39X6BpFNT0US53ROuDgXNGi-Z4K_VMR7oInGMsP9GBSdNmsnUejpflM4HUkguvuNwFGafF3IVxRuVJTkgFiAOpcQ5xK2ThcoIXUsRscoscnX3lGW75IEDsH3V18E-KP_sFChtw6MSfSexvNDduQ_4iFHxduRc4PqGS20oCU-8z6G7Ca0XIYcoV3zsuKdsbD18Ee3owESJ2F3X1BSJu_TcDsqS9LLuKhgHb3z11_rh279aiHoXlYE-xXvzZLjiG0ho03dXvvKk-XpwbJJj_ohh9QrmpeXTounU5R_8VSxWH3V-Lo8nrfDIQQBiMZOdHPRh7aZYPg9DwriDIGbNXPriYkkCXt_V0KlxwrjLaQXXKDbzf-hQCnNZxkTUNlXsacncpvNzrQfzNrolJAD5uosOmpzAd0hf1-okXaBHd0o6ixU5ljkKaNgfmdkkOyd18AK2mz5cbAPvwRC_YF0HdA=&p=3&fvj=1&vjs=3,3
4,Senior Accountant,Apifiny,"New York, NY",13 days ago,2021-03-23,"Review month-end journal entries, balance sheet reconciliations, and supporting schedules.
To unify global trading and settlement systems and remove barriers of…",,https://www.indeed.com/company/55-Global-Markets/jobs/Senior-Accountant-830d7707e8dc1647?fccid=848ee06863a4d7cd&vjs=3,4
5,Senior Accountant,Northwell health,"Westbury, NY",11 days ago,2021-03-23,Acquires in-depth knowledge of accounting software system to provide instruction and direction to co-workers to facilitate implementation of proper procedures;…,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AZWWK9Dkq8A_dUHCdj_uLeVWsWS91-0wEhlKVHwzSsO8rbL6Nho0VUrRbtCkMJTO-OJGvJIr_BD7Sd1Bt82AO_M7lg5_hZ6j_cJ7MKZPIVy5hUcjWs_3r9fHCecTduq14HzIVylxg9eExiEBM4Ew1k22rj2H5LvSULpsZGVzWWwHutmZFBspoPVTw-4ZumtAFrG7ady2kduopsTAwdaf5Lk9u2USA3QH5eqbuUGKZuZGbfMkqDhxvgQprgMc6VRgm2m3q0j4l30H3xSHAELgn_a1L8EAQ1N6OWuTHsmdAChgc72c_X3Dx-Goijabtr2TMIkun9CHSe-Jhr5D-SttV8MpE9c9JZLqUs5cNQTSTN57-hhAwwV_IXdIRai9ubCkfyDBwBc6ekjlWQlijTEgKC6IU9obXtJP_1VVYwNbaRbGKI7uiLlVuMwhg3kKV0hnsZ15LuqFBgJZfMY6GGEeldtf0rv4wNepWjDsRCf5Rwt46VTifvqsI_b00usp_tl8095bHBVVk2qdYPEF44EebS-JSmo7z9AJfU0iTh5CaICIZqmHQwsXK47lEQv5Xu8mmymj38JjXXpV5zqdMTIVUsNiYA5BBFz5jEUYS8xGNQLoBTzPWll080e9Q7VQTVN0iM7d-aOP77wIppcrmyGaZdhIRByHe9awt4Km2_ULqlq6C3OBO_x4x5zHxZ1z30R_lSrmqBXYgi40GLNejKof9ed-XTJkBx6w2fWgaJxgDETJI1XcG1lqiMdWYCDB7Vfpp-SF0NDKwBTVqM3q_XrdhcciHQdMbR-2quHRMt2_dOxR74YRYjH4fNNbUswX2mk9J_mIELjmVwHxdBarH_v0rPUzEef-MjNZjFmyVZ2RzcY95Hv7a1Bsp6QXhGB0fKjRhWEKuKAE79uJ_VPoG2M47mrgrtN8dUP6nAbPhyfe9yH5XWaTE7obWgS7K1-RJkCWckHX0gJb8n1i0mpoEjkRorP9wejV5QZWEByUF_23qITRYlip8TVk7c_TQLM77MKOVjxvsqyPLrt5404btJS9TwiAYqZ9rHkb4AEhp3QDc_3td6YTGAgPI-GNcDhalMZj0Tz-t0cz78V4FCrmyeTNU7M7YEXovN3ZCO-0Qu6HWS5f3wkBmwBi1V&p=5&fvj=0&vjs=3,5
6,Senior Accountant,Aura,"New York, NY",13 days ago,2021-03-23,"Will be assigned accounting, bookkeeping, and tax preparation tasks encompassing Billing, A/R, A/P, GL, and Revenue Recognition currently being completed by an…",,https://www.indeed.com/rc/clk?jk=5bcb2ba2d4da6bbe&fccid=67395a226c46feed&vjs=3,6
7,Senior Property Accountant,Cohen Brothers Realty Corporation,"New York, NY",Today,2021-03-23,"Review and analyze general ledgers for respective properties, process journal entries, calculate monthly accruals and update supporting balance sheet account…",,https://www.indeed.com/company/Cohen-Brothers-Realty-Corporation/jobs/Senior-Property-Accountant-54bcf629890270f7?fccid=60ccaeb73820bbc3&vjs=3,7
8,Senior Accountant,The Brotherhood/Sister Sol,"New York, NY",5 days ago,2021-03-23,"Accounts Payable: Input and pay invoices, credit card statements, receipts, and reimbursements - reconcile vendor statements and vendors management.",,https://www.indeed.com/rc/clk?cmp=The-Brotherhood%2FSister-Sol&ti=Senior+Accountant&jk=67df282e88df9790&fccid=71172852c61d93cd&vjs=3,8
9,Senior Accountant*,The New Jewish Home,"New York, NY",6 days ago,2021-03-23,"This position will be required to work on site.
The Senior Accountant for The New Jewish Home performs professional accounting duties related to all matters…",,https://www.indeed.com/rc/clk?jk=bc1d58e860babb17&fccid=0ec270cde28eeb64&vjs=3,9
10,Senior Accountant,Magnum Real Estate Group LLC,"New York, NY",29 days ago,2021-03-23,"All personnel require to wear masks when leaving workstation.
Project Accounting: 2 years (Preferred).
Only full-time employees eligible.",,https://www.indeed.com/company/Magnum-Management-LLC/jobs/Senior-Accountant-5fc1f04a6f107c99?fccid=52cacaef6a5a01bc&vjs=3,10
11,Senior Accountant,Democracy Prep Public Schools,"New York, NY",30+ days ago,2021-03-23,"Support and maintain all financial schedules related to revenue recognition, inter-company balances, rent, payroll, accruals, fixed assets and prepaid expenses.",,https://www.indeed.com/rc/clk?jk=98d5e112a024f12e&fccid=cf771de840891efc&vjs=3,11
12,Senior Accountant,Pearl River Pastry,"West Nyack, NY",8 days ago,2021-03-23,"Reports to: Head of Accounting.
We are looking to hire an experienced Senior Accountant to prepare and analyze the company’s financial records, compile…",,https://www.indeed.com/company/Pearl-River-Pastry/jobs/Senior-Accountant-9e31f289262f79e8?fccid=28156ce63f48cf24&vjs=3,12
13,Senior Accountant,Scentbird,"New York, NY",3 days ago,2021-03-23,"Analyze the financial statements at month-end for accuracy and identifying and issues to senior management.
We are looking for a Senior Accountant to assist in…",,https://www.indeed.com/rc/clk?jk=a8e69c1bc172b4fd&fccid=962217304c1f0428&vjs=3,13
14,Senior Accountant,Columbia University,"New York, NY",30+ days ago,2021-03-23,"Create, manage, and maintain the manual monthly AR valuation schedules, sub-schedules, and high-level review reports for the FPO departments for both IDX & EPIC…",,https://www.indeed.com/rc/clk?jk=4578c58ef5421ca2&fccid=bd976cc171c690e0&vjs=3,14
15,"Payroll Accountant (Senior Associate Accountant), Corporate Payroll Operations *2 Positions*",NYC Health + Hospitals,"New York, NY",30+ days ago,2021-03-23,"Perform a wide variety of record keeping and payroll processing activities, including computing wage and overtime payments, calculating and updating payroll…",,https://www.indeed.com/rc/clk?jk=f00ccca4fe1f3b96&fccid=8ba13cf21fd7c2de&vjs=3,15
16,Senior Accountant,Scentbird,"New York, NY",3 days ago,2021-03-23,"Analyze the financial statements at month-end for accuracy and identifying and issues to senior management.
We are looking for a Senior Accountant to assist in…",,https://www.indeed.com/rc/clk?jk=a8e69c1bc172b4fd&fccid=962217304c1f0428&vjs=3,16
17,Senior Accountant,Democracy Prep Public Schools,"New York, NY",30+ days ago,2021-03-23,"Support and maintain all financial schedules related to revenue recognition, inter-company balances, rent, payroll, accruals, fixed assets and prepaid expenses.",,https://www.indeed.com/rc/clk?jk=98d5e112a024f12e&fccid=cf771de840891efc&vjs=3,17
18,Senior Accountant,Ambulnz,"New York, NY",5 days ago,2021-03-23,"When medical transportation is required, Ambulnz's revolutionary digital application simplifies transport requests, vehicle dispatch, and provides real-time…",,https://www.indeed.com/rc/clk?jk=5e1dab2bc33ead22&fccid=4aaae0b1a7600564&vjs=3,18
19,Senior Accountant,Barnard College,"New York, NY",30+ days ago,2021-03-23,"Under the direction of the Controller, the Senior Accountant is responsible for maintaining accurate and timely accounting records for the College and ensure…",,https://www.indeed.com/rc/clk?jk=c3bc923c24e5a58c&fccid=efa377be21c099f6&vjs=3,19
20,Senior Accountant,Tory Burch,"Jersey City, NJ",5 days ago,2021-03-23,Prepare bank reconciliations and handle all facets of cash and credit card transactions for multiple banks and bank accounts.,,https://www.indeed.com/rc/clk?jk=61f5d07776c37afe&fccid=fdf755343f0d328b&vjs=3,20
21,Senior Accountant,Koneksa Health,"New York, NY",4 days ago,2021-03-23,"Prepare schedules to assist with our annual audit and liaison with our external audit firm.
Responsible for cash management; including invoicing, bank…",,https://www.indeed.com/rc/clk?jk=3f3e0d335bebe4e6&fccid=3d58624cd00c354b&vjs=3,21
22,Senior Accountant,Chainalysis,"New York, NY",20 days ago,2021-03-23,"The Senior Accountant is a skilled change agent who can automate workflows, implement new processes, and constantly iterate on our current procedures to improve…",,https://www.indeed.com/rc/clk?jk=777c6cbd4b194bfe&fccid=6e3d8a314fe8af80&vjs=3,22
23,New York | Senior Staff Accountant,Marc Jacobs,"New York, NY",30+ days ago,2021-03-23,"Provide support for ad-hoc requests from senior management, the FP&A team or the business operations teams; we view accounting as a customer service environment…",,https://www.indeed.com/rc/clk?jk=cfe998d24a0dc532&fccid=af5dabf0c38a2fee&vjs=3,23
24,Senior Accountant,Capstone,"New York, NY",13 days ago,2021-03-23,Prepare and track all of the firm's portfolio manager's payout calculations including preparation of the quarterly reporting to the managers.,,https://www.indeed.com/rc/clk?jk=4d6e97bc51018fdb&fccid=15ac6c88d72e3046&vjs=3,24
25,Senior Accountant,Building Service 32BJ Benefit Funds,"New York, NY",30+ days ago,2021-03-23,"Analyze current procedures and recommend changes to develop and implement best practice accounting procedures.
Knowledge of AccPac (or equivalent) preferred.",,https://www.indeed.com/rc/clk?jk=f141f63e5d1b28e0&fccid=e0f1f005b165263e&vjs=3,25
26,Senior Accountant - Equinox Plus,EQUINOX,"New York, NY",30+ days ago,2021-03-23,"2-3 years of relevant accounting experience with Big 4 accounting firm and / or a private company or startup.
Generate customer invoices and credit memos.",,https://www.indeed.com/rc/clk?jk=8cfa89a72531e5d9&fccid=3fe3d0481178cd7d&vjs=3,26
27,Senior Accountant - Mount Sinai Health Partners,Mount Sinai,"New York, NY",21 days ago,2021-03-23,"The Senior Accountant for Mount Sinai Health Partners performs professional accounting duties related to all matters finance, including financial review,…",,https://www.indeed.com/rc/clk?jk=ccae0c4b897d2198&fccid=c007936ceb766fe5&vjs=3,27
28,Senior Accountant,Equinox Media,"New York, NY",30+ days ago,2021-03-23,"2-3 years of relevant accounting experience with Big 4 accounting firm and / or a private company or startup.
Generate customer invoices and credit memos.",,https://www.indeed.com/rc/clk?jk=0d1222416dfced8d&fccid=48824abf58988f84&vjs=3,28
29,Senior Forensic Accountant,MSG CPA'S,"New York, NY",13 days ago,2021-03-23,3+ years of prior experience working in either a boutique forensic accounting firm or a forensic practice in a mid- to large-sized accounting firm.,,https://www.indeed.com/company/MSG/jobs/Senior-Forensic-Accountant-d66064c2f233d953?fccid=dd15b8c60e00e594&vjs=3,29
30,Senior Accountant,Fox Corporation,"New York, NY",30+ days ago,2021-03-23,"As Senior Accountant, you will be responsible for assisting with the daily operations of the accounting department and all areas of financial reporting,…",,https://www.indeed.com/rc/clk?jk=7baa5a981934a08a&fccid=61c19e057c54ec35&vjs=3,30
31,Senior Accountant,Chainalysis,"New York, NY",20 days ago,2021-03-23,"The Senior Accountant is a skilled change agent who can automate workflows, implement new processes, and constantly iterate on our current procedures to improve…",,https://www.indeed.com/rc/clk?jk=777c6cbd4b194bfe&fccid=6e3d8a314fe8af80&vjs=3,31
32,Senior Accountant - Mount Sinai Health Partners,Mount Sinai,"New York, NY",21 days ago,2021-03-23,"The Senior Accountant for Mount Sinai Health Partners performs professional accounting duties related to all matters finance, including financial review,…",,https://www.indeed.com/rc/clk?jk=ccae0c4b897d2198&fccid=c007936ceb766fe5&vjs=3,32
33,Senior Accountant - Equinox Plus,EQUINOX,"New York, NY",30+ days ago,2021-03-23,"2-3 years of relevant accounting experience with Big 4 accounting firm and / or a private company or startup.
Generate customer invoices and credit memos.",,https://www.indeed.com/rc/clk?jk=8cfa89a72531e5d9&fccid=3fe3d0481178cd7d&vjs=3,33
34,"Senior Accountant, ORIX Capital Partners",ORIX,"New York, NY",6 days ago,2021-03-23,"Process vendor invoices and bill pay (15-30 transactions per month).
Process vendor invoices and bill pay (15-30 transactions per month).",,https://www.indeed.com/rc/clk?jk=036da4c1f3262660&fccid=435b67b42a7b7803&vjs=3,34
35,Senior Inventory Accountant,Daily Harvest,"New York, NY",5 days ago,2021-03-23,"Demonstrate firm understanding of accounting principles and GAAP.
Assist in external audit including preparing schedules and responding to audit inquiries.",,https://www.indeed.com/rc/clk?jk=38301a61a7ee31d2&fccid=27cef24446eb0bc4&vjs=3,35
36,Senior Accountant,"Jefferies & Company, Inc.","New York, NY",30+ days ago,2021-03-23,"Preparation schedules for annual tax return and all miscellaneous tax matters.
This position will be responsible for the overall accounting and reporting for…",,https://www.indeed.com/rc/clk?jk=4a1f5c9d4aa0adb0&fccid=0140e51652b12787&vjs=3,36
37,Senior Corporate Accountant,The Life Properties,"New York, NY",12 days ago,2021-03-23,"Competitive compensation package with a variety of benefit options.
Responsibilities: What you will do: The Senior Corporate Accountant will work closely…",,https://www.indeed.com/company/The-Life-Properties/jobs/Senior-Corporate-Accountant-c5b2ceb0995f68bf?fccid=613c70edc37cb41f&vjs=3,37
38,Senior Accountant,Alfred,"New York, NY",30+ days ago,2021-03-23,"You will provide critical financial support and ensure timely and accurate financial reporting.
Own the daily operations of the accounting department.",,https://www.indeed.com/rc/clk?jk=068bc545a9bfa4ea&fccid=8ebab26147bf9c55&vjs=3,38
39,Senior Accountant,Capstone,"New York, NY",13 days ago,2021-03-23,Prepare and track all of the firm's portfolio manager's payout calculations including preparation of the quarterly reporting to the managers.,,https://www.indeed.com/rc/clk?jk=4d6e97bc51018fdb&fccid=15ac6c88d72e3046&vjs=3,39
40,Senior Accountant / Controller - Non-Profit,Source EQ,"New York, NY",12 days ago,2021-03-23,"Monitor daily cash balances, update and monitor positive pay and stop payments.
Maintain Metro card purchase, payment and monitor reimbursement system.",,https://www.indeed.com/company/Source-EQ/jobs/Senior-Accountant-9f1d69a78dc002ab?fccid=c2d176ae63b16375&vjs=3,40
41,SENIOR ACCOUNTANT,MBS Accounting Technology & Advisory,"Manhattan, NY",19 days ago,2021-03-23,The accounting position plays an integral position with our firm and clients and is responsible for maintaining accurate and timely financial records for our…,,https://www.indeed.com/rc/clk?jk=6b360844801c12cd&fccid=284b853600133057&vjs=3,41
42,Senior Accountant,Dolar Shop Restaurant,"New York, NY",19 days ago,2021-03-23,"Coordinating payroll activities to ensure all pay data is compiled, processed, and reconciled in an accurate and timely manner to meet all payroll deadlines.",,https://www.indeed.com/company/Dolar-Shop-Restaurant/jobs/Senior-Accountant-93b56f30cbde93c0?fccid=2b020d49792d7d0f&vjs=3,42
43,Senior Staff Accountant,Carbone - New York,"New York, NY",11 days ago,2021-03-23,"Perform daily credit card reconciliation.
This is a remote postion.
Develop and maintain timely and accurate financial statements.",,https://www.indeed.com/rc/clk?jk=cc0b6b43b921f67d&fccid=25f62f64d3921808&vjs=3,43
44,Senior Treasury Accountant,ZARA,"New York, NY",12 days ago,2021-03-23,"Manage timely and accurate payments and cash reporting with quality and care, in accordance with statutory and group policies.",,https://www.indeed.com/rc/clk?jk=c39ae86fda630046&fccid=34d46e543c02bee4&vjs=3,44
45,Senior Accountant / Controller - Non-Profit,Source EQ,"New York, NY",Active 3 days ago,2021-03-23,"Monitor daily cash balances, update and monitor positive pay and stop payments.
Maintain Metro card purchase, payment and monitor reimbursement system.",,https://www.indeed.com/company/Source-EQ/jobs/Senior-Accountant-9f1d69a78dc002ab?fccid=c2d176ae63b16375&vjs=3,45
46,Senior Accountant,ACLU,"New York, NY",30+ days ago,2021-03-23,Excellent organizational and planning skills with demonstrated ability to create structures to effectively manage personal and team deliverables.,,https://www.indeed.com/rc/clk?jk=a08693bde967bbfd&fccid=b386980fa584d9b2&vjs=3,46
47,Senior Accountant,Fox Corporation,"New York, NY",30+ days ago,2021-03-23,"As Senior Accountant, you will be responsible for assisting with the daily operations of the accounting department and all areas of financial reporting,…",,https://www.indeed.com/rc/clk?jk=7baa5a981934a08a&fccid=61c19e057c54ec35&vjs=3,47
48,Senior Accountant - Mount Sinai Health Partners,Mount Sinai,"New York, NY",21 days ago,2021-03-23,"The Senior Accountant for Mount Sinai Health Partners performs professional accounting duties related to all matters finance, including financial review,…",,https://www.indeed.com/rc/clk?jk=ccae0c4b897d2198&fccid=c007936ceb766fe5&vjs=3,48
49,Senior Corporate Accountant,The Life Properties,"New York, NY",Active 5 days ago,2021-03-23,"Competitive compensation package with a variety of benefit options.
Responsibilities: What you will do: The Senior Corporate Accountant will work closely…",,https://www.indeed.com/company/The-Life-Properties/jobs/Senior-Corporate-Accountant-c5b2ceb0995f68bf?fccid=613c70edc37cb41f&vjs=3,49
50,Senior Accountant,American Civil Liberties Union,"New York, NY",30+ days ago,2021-03-23,Excellent organizational and planning skills with demonstrated ability to create structures to effectively manage personal and team deliverables.,,https://www.indeed.com/rc/clk?jk=13229d007e995c2c&fccid=b386980fa584d9b2&vjs=3,50
51,Senior Staff Accountant,Stage 1 Financial,"Brooklyn, NY",3 days ago,2021-03-23,"As a Senior Staff Accountant for Stage 1 Financial, you will be responsible for driving the recurring monthly processes for our largest clients, including…",,https://www.indeed.com/rc/clk?jk=169f43463e813773&fccid=bba0430bc102e0e7&vjs=3,51
52,Senior Staff Accountant,"Stefanini, Inc","New York, NY",30+ days ago,2021-03-23,"The responsibilities for this role will be to;
Create and distribute monthly invoices based on contract and reporting data.",,https://www.indeed.com/rc/clk?jk=0420d99bac33ca0e&fccid=7e646b8cb4a11b13&vjs=3,52
53,Senior Accountant,Tunnel To Towers Foundation,"Staten Island, NY",Active 5 days ago,2021-03-23,This national nonprofit seeks a Senior Accountant to work closely with the Foundation’s Finance Department providing financial information by maintaining and…,,https://www.indeed.com/company/Stephen-Siller-Tunnel-to-Towers-Foundation/jobs/Senior-Accountant-536b20a450319f08?fccid=adc26fb06ce6fed4&vjs=3,53
54,Senior Accountant,Equityzen,"New York, NY",30+ days ago,2021-03-23,"Reporting to the VP of Finance, the Senior Accountant will help oversee and manage all aspects of our month-end close process and accounting systems.",,https://www.indeed.com/rc/clk?jk=8a77021da226e7f3&fccid=7f9e93103b63cd1f&vjs=3,54
55,Senior Accountant,Butterfly Network,"New York, NY",30+ days ago,2021-03-23,"3+ years experience in a public accounting firm and/or private industry.
The Senior Accountant will report to the Accounting Manager and will be responsible for…",,https://www.indeed.com/rc/clk?jk=b7a4c08bac0ff0f6&fccid=f34adc12ba09e47f&vjs=3,55
56,Senior Accountant,DGA Security,"New York, NY",26 days ago,2021-03-23,This position will report to the Vice President of Finance while partnering with the Finance team to lead the Month-End Close (MEC) process and subsequent…,,https://www.indeed.com/rc/clk?jk=721c0b857dfc303d&fccid=3840bfe37edbb448&vjs=3,56
57,Senior Forensic Accountant,MSG CPA'S,"New York, NY",Active 7 days ago,2021-03-23,3+ years of prior experience working in either a boutique forensic accounting firm or a forensic practice in a mid- to large-sized accounting firm.,,https://www.indeed.com/company/MSG/jobs/Senior-Forensic-Accountant-d66064c2f233d953?fccid=dd15b8c60e00e594&vjs=3,57
58,SENIOR ACCOUNTANT,OHEL,"Brooklyn, NY",30+ days ago,2021-03-23,"Responsibilities include detailed account analysis, bank reconciliations, monthly reporting and Financial Statement preparation.",,https://www.indeed.com/rc/clk?jk=f83d09b067d9ce72&fccid=e3f04e062591e2ee&vjs=3,58
59,Senior Accountant,Yext,"New York, NY",19 days ago,2021-03-23,"Experience with a Big 4 firm and/or SEC registered company.
Provide a high level of customer service with finance and non-finance business partners, including…",,https://www.indeed.com/rc/clk?jk=50d44b30e7e6e5c6&fccid=10492c8f2d7b4e4a&vjs=3,59
60,Senior Accountant,American Civil Liberties Union,"New York, NY",30+ days ago,2021-03-23,Excellent organizational and planning skills with demonstrated ability to create structures to effectively manage personal and team deliverables.,,https://www.indeed.com/rc/clk?jk=13229d007e995c2c&fccid=b386980fa584d9b2&vjs=3,60
61,Senior Accountant,Plesser's Appliance,"Babylon, NY",Active 4 days ago,2021-03-23,"3-5 years of proven experience in accounting as a senior accountant or accounting supervisor.
Prepare various year-end schedules and audit work-papers.",,https://www.indeed.com/company/Plesser's-Appliance/jobs/Senior-Accountant-e7ca97beb2924b76?fccid=db8120781716253e&vjs=3,61
62,SENIOR ACCOUNTANT,MBS Accounting Technology & Advisory,"Manhattan, NY",19 days ago,2021-03-23,The accounting position plays an integral position with our firm and clients and is responsible for maintaining accurate and timely financial records for our…,,https://www.indeed.com/rc/clk?jk=6b360844801c12cd&fccid=284b853600133057&vjs=3,62
63,Senior Accountant,Dolar Shop Restaurant,"New York, NY",Active 5 days ago,2021-03-23,"Coordinating payroll activities to ensure all pay data is compiled, processed, and reconciled in an accurate and timely manner to meet all payroll deadlines.",,https://www.indeed.com/company/Dolar-Shop-Restaurant/jobs/Senior-Accountant-93b56f30cbde93c0?fccid=2b020d49792d7d0f&vjs=3,63
64,Senior Accountant - Consolidations,Dataiku,"New York, NY",12 days ago,2021-03-23,"As the Senior Accountant - Consolidations, you will be reporting to the Director of Accounting and will be responsible for the corporate consolidations…",,https://www.indeed.com/rc/clk?jk=3349bae61c4ca01a&fccid=4640437a3109c91f&vjs=3,64
65,Senior Accountant,Alfred,"New York, NY",30+ days ago,2021-03-23,"You will provide critical financial support and ensure timely and accurate financial reporting.
Own the daily operations of the accounting department.",,https://www.indeed.com/rc/clk?jk=068bc545a9bfa4ea&fccid=8ebab26147bf9c55&vjs=3,65
66,Senior Inventory Accountant,Daily Harvest,"New York, NY",5 days ago,2021-03-23,"Demonstrate firm understanding of accounting principles and GAAP.
Assist in external audit including preparing schedules and responding to audit inquiries.",,https://www.indeed.com/rc/clk?jk=38301a61a7ee31d2&fccid=27cef24446eb0bc4&vjs=3,66
67,Senior Accountant (National HQ),Crohns And Colitis Foundation Inc,"New York, NY",12 days ago,2021-03-23,"Ensure that the Foundation’s expenditures are managed in accordance with generally accepted accounting principles;
Responsible for issuing payments to vendors;",,https://www.indeed.com/rc/clk?jk=2edbc4fcb68159a1&fccid=3156592ec577d060&vjs=3,67
68,Senior Accountant,iboss,"New York, NY",Today,2021-03-23,"Perform critical accounting functions of a growth SaaS business, including preparation of journal entries, review and reconciliation of general ledger accounts…",,https://www.indeed.com/rc/clk?jk=5ed1622643acea0d&fccid=fb64df2c5ea4a9ff&vjs=3,68
69,Senior Accountant,Full Stack Solutions,"Irvington, NJ",Active 4 days ago,2021-03-23,"Assists outside accountants in quarterly and year-end reviews.
They are searching for an individual to play a senior role in both thier accounts payable and…",,https://www.indeed.com/company/Full-Stack-Solutions/jobs/Senior-Accountant-58537f358b4df09d?fccid=ee5dbb4be5791161&vjs=3,69
