,Job Title,Company,Location,Posting Date,Extract Date,Summary,Salary,Job Url,id
1087,"Senior Audit Manager, Regional Audit",HSBC,"New York, NY",21 days ago,2021-03-23,"Manages the audit planning process to include completion of the audit risk assessment; manages on-site audit work to include staff work-paper review, conducting…",,https://www.indeed.com/rc/clk?jk=716e7a766814cbef&fccid=04c9b139c84ea1b5&vjs=3,1087
1088,Tax Senior,Friedman LLP,"New York, NY",30+ days ago,2021-03-23,"Participates in planning and execution of client engagement in collaboration with the Manager and/or Partner on the job.
Trains and mentors lower level staff.",,https://www.indeed.com/rc/clk?jk=f9ff0cdb37a89c9d&fccid=c902b575d624a64b&vjs=3,1088
1089,Senior Audit Associate,PKF O'Connor Davies,"New York, NY",30+ days ago,2021-03-23,"The Senior Audit Associate must be able to perform and direct the broadest range of accounting tasks and will assist the supervisor, manager and/or partner in…",,https://www.indeed.com/rc/clk?jk=c7763b4d18f2497a&fccid=39139820e001980d&vjs=3,1089
1090,Assurance Senior Manager,BDO,"New York, NY",5 days ago,2021-03-23,"Prior experience performing SAS70 highly desired.
Exposure to industry software such as PeopleSoft, JD Edwards, SAP, Lawson, Oracle Financials, Great Plains,…",,https://www.indeed.com/rc/clk?jk=c2364892c4a4d62d&fccid=3639654bd4055c70&vjs=3,1090
1091,Tax Senior,"Katz, Sapper & Miller (KSM)","New York, NY",30+ days ago,2021-03-23,"KSM will not pay a fee to recruiters or agencies that do not have a signed KSM vendor contract.
Participates in planning and scheduling client engagements.",,https://www.indeed.com/rc/clk?jk=15d6c56e5171f2ec&fccid=a4ee758555403fbb&vjs=3,1091
1092,Senior Consultant - R&C Internal Audit (NY),CrossCountry Consulting,"New York, NY",30+ days ago,2021-03-23,"3 years + professional services experience in a client facing role at a consulting firm, Big Four accounting firm, or commensurate experience in the industry…",,https://www.indeed.com/rc/clk?jk=752c9fe2edf0b2f1&fccid=41d4f951b1ea5f2a&vjs=3,1092
1093,Transfer Pricing Tax Senior Associate,BDO,"New York, NY",13 days ago,2021-03-23,"In this role, the STS Transfer Pricing Senior Associate will be charged with gathering client information for appropriate tax filings and preparing tax accrual…",,https://www.indeed.com/rc/clk?jk=56afe0d3327cd9a7&fccid=3639654bd4055c70&vjs=3,1093
1094,Senior Accountant,Vaco,"Paramus, NJ",Just posted,2021-03-23,"To be successful in this role, qualified candidates should have experience with project accounting, costing, and scheduling.
Month end/year end (6/30) overtime.",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D_sybMACCpf9B-677oK5j6rPldVB6BlrVvFjO_o-GJZbzuF-qh4PxErFUqfUsv_6s7DMb5mhTYBm2NL5HdBj8PcLEx03QnQxqVBcLAffbo0UpGIbsjGNP4fuMEC22vCa0_QtI5AatLeQ1VAyRZ5EhXcFNLZZ08m8GFEhSkg3IROu9-kq3nYiu-iL2Oz8qz1WlIY7FnDYT1hCMTdz7-nnr1vyfyAxERU9h1_TfrfAq0Cp5F739nnMI3I8kmu8B6lqRZSkG39HmfpRF9XqHa3vk1pvhawJMYbC0EJIMWZfRonNs45WkDY5r8qA7QJyLko75oOtY6or5uQPa0MBkmfVCxMZpRrHPhRRoKxGSDwmBTegWkHst-dCmckfGuoKeU9L7Hx6UAOcjQ4J7hj7I7-8ptlHyO-OBuHallTUDmXMWjXfZF0u3ygBQv09ZDrnt-_GkAASMS3diEoVPtz18cSNY75D5Vk-zY4P-8dc4CnhI2kUd_0aL5VGkQYB4SswfyHWk=&p=8&fvj=0&vjs=3,1094
1095,Experienced Audit Senior,BDO,"New York, NY",13 days ago,2021-03-23,"The Experienced Audit Senior will be responsible for coordinating the day-to-day ""in-charge"" duties of planning, fieldwork and ""wrap-up"" to include the…",,https://www.indeed.com/rc/clk?jk=ffe3233e6beca042&fccid=3639654bd4055c70&vjs=3,1095
1096,Tax Reporting/Trust Specialist - Implementation Conversion Analyst Senior,FIS Global,"New York, NY",1 day ago,2021-03-23,"Acts as an on-site resource during conversion and answers questions, troubleshoots problems as they occur, supports implementation of new procedures, conducts…",,https://www.indeed.com/rc/clk?jk=9562affb3ddb6e30&fccid=74e36d81c894b4b7&vjs=3,1096
1097,State and Local Tax - Financial Services - Senior Associate - New York,PRICE WATERHOUSE COOPERS,"New York, NY",27 days ago,2021-03-23,"Use a broad range of tools and techniques to extract insights from current industry or sector trends.
You’ll help with assessing our client’s state and local…",,https://www.indeed.com/rc/clk?jk=16134deee0f221cb&fccid=5e964c4afc56b180&vjs=3,1097
1098,Tax Senior Associate - NFP [Not-For-Profit ],CohnReznick,"New York, NY",30+ days ago,2021-03-23,"A flexible work environment with competitive benefits.
The ideal candidate will have tax and/or audit experience with Not-for-Profit entities, including the…",,https://www.indeed.com/rc/clk?jk=214fb1015b4581c9&fccid=f0bade0760e83581&vjs=3,1098
1099,Tax Senior/ Manager,Cerity Partners,"New York, NY",30+ days ago,2021-03-23,"Extensive knowledge of income tax planning and financial planning.
5 – 10 years of HNW tax experience with CPA firm or wealth management firm.",,https://www.indeed.com/rc/clk?jk=fd2d1123d8572c03&fccid=7c93ce0724bf2cd8&vjs=3,1099
1100,"Senior Specialist, SOX Compliance & Control",BNY Mellon,"New York, NY",17 days ago,2021-03-23,"Contributes in the execution of the SOX assessment program in providing thorough and reliable identification of in-scope accounts and locations, planning,…",,https://www.indeed.com/rc/clk?jk=15085f8d43454ad7&fccid=b4048be2884af072&vjs=3,1100
1101,Tax Senior Associate - PCS [Private Client Services Group],CohnReznick,"New York, NY",30+ days ago,2021-03-23,"2-4 years' experience in a large or mid-size public accounting firm.
A flexible work environment with competitive benefits.
Must have strong analytical skills.",,https://www.indeed.com/rc/clk?jk=bdf1eb1b7ca3b0fa&fccid=f0bade0760e83581&vjs=3,1101
1102,Senior Internal Auditor - Reinsurance,Arch Capital Services LLC,"New York, NY",21 days ago,2021-03-23,"May lead certain aspects of Audit/Advisory projects including engagement planning, depending upon skillsets and project requirements.",,https://www.indeed.com/rc/clk?jk=4af5885d54975fd2&fccid=1765e22da8e26881&vjs=3,1102
1103,Sr. Tax Accountant,Cognyte,"Melville, NY",22 days ago,2021-03-23,"O 5+ years of experience with a mid-size or Big 4 public accounting firm or in a large corporate tax department focused on federal and state tax compliance,…",,https://www.indeed.com/rc/clk?jk=b948c0e238bea0b2&fccid=090ca10780e75fdb&vjs=3,1103
1104,Senior Manager - Fund Controller,Sanne group,"New York, NY",30+ days ago,2021-03-23,"Prepare fund financial statements with footnotes and supporting schedules;
Prepare work paper files including investment activity, management fee calculations,…",,https://www.indeed.com/rc/clk?jk=988da6c0cdeab922&fccid=bc53a78caa35cae7&vjs=3,1104
1105,Sr Auditor / Staff Auditor,CEDENT,"New York, NY",30+ days ago,2021-03-23,"At least 2 years of experience, preferably a mix of time in a Big 4 public accounting firm (or reputable accounting firm) and a large international audit ,…",,https://www.indeed.com/rc/clk?jk=c1378f37622f1188&fccid=2ecf4575019bf07a&vjs=3,1105
