Unnamed: 0,School,Score,Rating,Address,Type,Grades,Total Students Enrolled,Students per teacher,District,City,State,High School (9-12),Middle School (6-8),Elementary (K-5),Pre-Kindergarten (PK)
0,Jones College Prep High School,10,Top rated,"700 South State Street, Chicago, IL, 60605",Public district,9-12,1861.0,17:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
1,Northside College Preparatory High School,10,Top rated,"5501 North Kedzie Avenue, Chicago, IL, 60625",Public district,9-12,1061.0,16:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
2,Payton College Preparatory High School,10,Top rated,"1034 North Wells Street, Chicago, IL, 60610",Public district,9-12,1073.0,15:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
3,Devry Advantage Academy High School,10,Top rated,"3300 North Campbell Avenue, Chicago, IL, 60618",Public district,11-12,193.0,18:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
4,Westinghouse High School,9,Above average,"3223 West Franklin Boulevard, Chicago, IL, 60624",Public district,9-12,1192.0,16:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
5,Chicago Bulls College Prep,9,Above average,"2040 W. Adams St., Chicago, IL, 60612",Public charter,9-12,1136.0,19:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
6,UIC College Prep,9,Above average,"1231 S. Damen Ave., Chicago, IL, 60608",Public charter,9-12,939.0,19:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
7,King College Prep High School,9,Above average,"4445 South Drexel Boulevard, Chicago, IL, 60653",Public district,9-12,599.0,15:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
8,BACK OF THE YARDS IB HS,9,Above average,"2111 West 47th Street, Chicago, IL, 60609",Public district,9-12,1064.0,14:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
9,Hancock College Preparatory High School,9,Above average,"4034 West 56th Street, Chicago, IL, 60629",Public district,9-12,967.0,17:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
10,Chicago High School For Agricult Sciences,9,Above average,"3857 West 111th Street, Chicago, IL, 60655",Public district,9-12,718.0,16:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
11,Lenart Elementary Regional Gifted Center,9,Above average,"8101 South La Salle Street, Chicago, IL, 60620",Public district,PK-8,284.0,18:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
12,Phoenix Military Academy High School,9,Above average,"145 South Campbell Avenue, Chicago, IL, 60612",Public district,9-12,532.0,17:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
13,Columbus Elementary School,8,Above average,"1003 North Leavitt Street, Chicago, IL, 60622",Public district,PK-8,285.0,19:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
14,CICS Northtown,8,Above average,"3900 W. Peterson, Chicago, IL, 60659",Public charter,9-12,917.0,14:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
15,Walt Disney Magnet School,8,Above average,"4140 North Marine Drive, Chicago, IL, 60613",Public district,PK-8,1572.0,19:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
16,Chicago High School For The Arts,8,Above average,"2714 West Augusta Boulevard, Chicago, IL, 60622",Public district,9-12,612.0,14:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
17,Goode Stem Academy High School,8,Above average,"7651 South Homan Avenue, Chicago, IL, 60652",Public district,9-12,903.0,15:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
18,Ebinger Elementary School,8,Above average,"7350 West Pratt Avenue, Chicago, IL, 60631",Public district,K-8,831.0,20:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
19,Golder College Prep,8,Above average,"1454 W. Superior St., Chicago, IL, 60642",Public charter,9-12,662.0,19:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
20,Muchin College Prep,8,Above average,"1 N. State St., Chicago, IL, 60602",Public charter,9-12,956.0,19:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
21,Haines Elementary School,8,Above average,"247 West 23rd Place, Chicago, IL, 60616",Public district,PK-8,687.0,19:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
22,Hawthorne Elementary Scholastic Academy,8,Above average,"3319 North Clifton Avenue, Chicago, IL, 60657",Public district,K-8,567.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
23,Healy Elementary School,8,Above average,"3010 South Parnell Avenue, Chicago, IL, 60616",Public district,PK-8,1420.0,18:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
24,Keller Elementary Gifted Magnet School,8,Above average,"3020 West 108th Street, Chicago, IL, 60655",Public district,1-8,242.0,19:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
25,Poe Elementary Classical School,8,Above average,"10538 South Langley Avenue, Chicago, IL, 60628",Public district,K-6,208.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
26,Kinzie Elementary School,8,Above average,"5625 South Mobile Avenue, Chicago, IL, 60638",Public district,PK-8,687.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
27,Lincoln Elementary School,8,Above average,"615 West Kemper Place, Chicago, IL, 60614",Public district,K-8,897.0,19:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
28,Horizon Science Academy-Mckinley Park,8,Above average,"2245 W. Pershing Rd., Chicago, IL, 60609",Public charter,K-12,790.0,13:1,Horizon Science Acad-Mckinley Pk,Chicago,IL,1,1,1,0
29,Oriole Park Elementary School,8,Above average,"5424 North Oketo Ave, Chicago, IL, 60656",Public district,PK-8,751.0,17:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
30,CRANE MEDICAL PREP HS,8,Above average,"2245 West Jackson Boulevard, Chicago, IL, 60612",Public district,9-12,481.0,15:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
31,Ravenswood Elementary School,8,Above average,"4332 North Paulina St, Chicago, IL, 60613",Public district,PK-8,547.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
32,Sauganash Elementary School,8,Above average,"6040 North Kilpatrick Avenue, Chicago, IL, 60646",Public district,K-8,605.0,19:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
33,Sheridan Elementary Math & Science Academy,8,Above average,"533 West 27th Street, Chicago, IL, 60616",Public district,K-8,560.0,18:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
34,Skinner Elementary School,8,Above average,"111 South Throop Street, Chicago, IL, 60607",Public district,PK-8,1100.0,20:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
35,Ward  J Elementary School,8,Above average,"2701 South Shields Avenue, Chicago, IL, 60616",Public district,PK-8,587.0,19:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
36,Dirksen Elementary School,8,Above average,"8601 West Foster Avenue, Chicago, IL, 60656",Public district,PK-8,944.0,19:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
37,Burley Elementary School,8,Above average,"1630 West Barry Avenue, Chicago, IL, 60657",Public district,PK-8,533.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
38,Disney Ii Elementary School,8,Above average,"3815 North Kedvale Avenue, Chicago, IL, 60641",Public district,PK-6,431.0,6:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
39,Canty Elementary School,8,Above average,"3740 North Panama Avenue, Chicago, IL, 60634",Public district,PK-8,855.0,19:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
40,Chappell Elementary School,7,Above average,"2135 West Foster Avenue, Chicago, IL, 60625",Public district,PK-8,572.0,15:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
41,Carver Military Academy High School,7,Above average,"13100 South Doty Avenue, Chicago, IL, 60827",Public district,9-12,479.0,16:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
42,Coonley Elementary School,7,Above average,"4046 North Leavitt Street, Chicago, IL, 60618",Public district,K-8,1008.0,18:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
43,CICS Washington Park,7,Above average,"110 E. 61st St., Chicago, IL, 60637",Public charter,K-8,458.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
44,Decatur Classical Elementary School,7,Above average,"7030 North Sacramento Avenue, Chicago, IL, 60645",Public district,K-6,281.0,18:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
45,Azuela Elementary School,7,Above average,"4707 West Marquette Road, Chicago, IL, 60629",Public district,PK-8,888.0,19:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
46,Nkrumah Academy Elementary School,7,Above average,"314 West 108th Street, Chicago, IL, 60628",Public charter,K-8,178.0,18:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
47,Stem Magnet Academy Elementary,7,Above average,"1522 West Fillmore Street , Chicago, IL, 60607",Public district,K-8,435.0,14:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
48,Urban Prep Chtr South Shore High School,7,Above average,"521 East 35th Street, Chicago, IL, 60653",Public charter,9-12,316.0,19:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
49,Young Magnet High School,7,Above average,"211 South Laflin Street, Chicago, IL, 60607",Public district,7-12,2157.0,18:1,City Of Chicago School District 299,Chicago,IL,1,1,0,0
50,Dore Elementary School,7,Above average,"6108 South Natoma Avenue, Chicago, IL, 60638",Public district,PK-8,713.0,17:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
51,Everett Elementary School,7,Above average,"3419 South Bell Avenue, Chicago, IL, 60608",Public district,PK-5,200.0,15:1,City Of Chicago School District 299,Chicago,IL,0,0,1,1
52,Pritzker College Prep,7,Above average,"4131 W. Cortland Ave., Chicago, IL, 60639",Public charter,9-12,985.0,20:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
53,Fernwood Elementary School,7,Above average,"10041 South Union Avenue, Chicago, IL, 60628",Public district,PK-8,301.0,18:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
54,Hamilton Elementary School,7,Above average,"1650 West Cornelia Ave, Chicago, IL, 60657",Public district,PK-8,481.0,15:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
55,Earhart Elementary Opt For Knowl School,7,Above average,"1710 East 93rd Street, Chicago, IL, 60617",Public district,K-8,239.0,19:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
56,Mayer Elementary School,7,Above average,"2250 North Clifton Avenue, Chicago, IL, 60614",Public district,PK-8,766.0,17:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
57,Mount Greenwood Elementary School,7,Above average,"10841 South Homan Avenue, Chicago, IL, 60655",Public district,K-8,1124.0,20:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
58,Noble Academy,7,Above average,"1443 N Odgen, Chicago, IL, 60602",Public charter,9,489.0,19:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
59,Horizon Science Academy-Belmont,7,Above average,"2456 North Mango Avenue, Chicago, IL, 60639",Public charter,K-8,516.0,14:1,Horizon Science Acad-Belmont,Chicago,IL,0,1,1,0
60,Rogers Elementary School,7,Above average,"7345 North Washtenaw Avenue, Chicago, IL, 60645",Public district,PK-8,787.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
61,Solomon Elementary School,7,Above average,"6206 North Hamlin Avenue, Chicago, IL, 60659",Public district,PK-8,348.0,15:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
62,Stone Elementary Scholastic Academy,7,Above average,"6239 North Leavitt Street, Chicago, IL, 60659",Public district,K-8,627.0,15:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
63,Von Steuben Metro Science High School,7,Above average,"5039 North Kimball Avenue, Chicago, IL, 60625",Public district,9-12,1726.0,17:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
64,Armstrong G Elementary Intl Studies,7,Above average,"2110 West Greenleaf Avenue, Chicago, IL, 60645",Public district,PK-8,1419.0,17:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
65,Zapata Elementary Academy,7,Above average,"2728 South Kostner Avenue, Chicago, IL, 60623",Public district,PK-8,779.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
66,Edison Elementary Regional Gifted Center,7,Above average,"4929 North Sawyer Avenue, Chicago, IL, 60625",Public district,K-8,271.0,15:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
67,Casals Elementary School,7,Above average,"3501 West Potomac Avenue, Chicago, IL, 60651",Public district,PK-8,442.0,15:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
68,Columbia Explorers Elementary Academy,7,Above average,"4520 South Kedzie Avenue, Chicago, IL, 60632",Public district,PK-8,1065.0,18:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
69,Rickover Naval Academy High School,7,Above average,"5900 North Glenwood Avenue, Chicago, IL, 60660",Public district,9-12,555.0,14:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
70,Bell Elementary School,7,Above average,"3730 North Oakley Avenue, Chicago, IL, 60618",Public district,K-8,958.0,17:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
71,Brennemann Elementary School,7,Above average,"4251 North Clarendon Avenue, Chicago, IL, 60613",Public district,PK-8,436.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
72,Budlong Elementary School,7,Above average,"2701 West Foster Avenue, Chicago, IL, 60625",Public district,PK-8,772.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
73,Turner-Drew Elementary Language Academy,7,Above average,"9300 South Princeton Avenue, Chicago, IL, 60620",Public district,K-8,248.0,17:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
74,Cassell Elementary School,7,Above average,"11314 South Spaulding Avenue, Chicago, IL, 60655",Public district,K-8,411.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
75,Prosser Career Academy High School,6,Average,"2148 North Long Avenue, Chicago, IL, 60639",Public district,9-12,1395.0,16:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
76,CICS Avalon,6,Average,"1501 E. 83rd Place, Chicago, IL, 60619",Public charter,K-8,478.0,15:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
77,Skinner North Elementary School,6,Average,"640 West Scott Street, Chicago, IL, 60610",Public district,K-8,494.0,18:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
78,Ogden Int High School,6,Average,"1250 West Erie Street, Chicago, IL, 60642",Public district,6-12,890.0,8:1,City Of Chicago School District 299,Chicago,IL,1,1,0,0
79,Dever Elementary School,6,Average,"3436 North Osceola Avenue, Chicago, IL, 60634",Public district,PK-8,780.0,17:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
80,Air Force Academy High School,6,Average,"3630 South Wells Street, Chicago, IL, 60609",Public district,9-12,261.0,11:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
81,Alcott College Prep,6,Average,"2957 North Hoyne Avenue, Chicago, IL, 60618",Public district,9-12,311.0,5:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
82,South Shore Intl Col Prep High School,6,Average,"1955 East 75th Street, Chicago, IL, 60649",Public district,9-12,648.0,16:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
83,Drummond Elementary School,6,Average,"1845 West Cortland St, Chicago, IL, 60622",Public district,PK-8,349.0,17:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
84,Farnsworth Elementary School,6,Average,"5414 North Linder Avenue, Chicago, IL, 60630",Public district,PK-8,604.0,15:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
85,Garvy  J Elementary School,6,Average,"5225 North Oak Park Avenue, Chicago, IL, 60656",Public district,K-8,831.0,19:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
86,Greeley Elementary School,6,Average,"832 West Sheridan Road, Chicago, IL, 60613",Public district,PK-8,570.0,15:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
87,Hayt Elementary School,6,Average,"1518 West Granville Avenue, Chicago, IL, 60660",Public district,PK-8,1010.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
88,Hibbard Elementary School,6,Average,"3244 West Ainslie Street, Chicago, IL, 60625",Public district,PK-6,994.0,17:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
89,Holden Elementary School,6,Average,"1104 West 31st Street, Chicago, IL, 60608",Public district,PK-8,506.0,15:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
90,Jackson A Elementary Language Academy,6,Average,"1340 West Harrison Street, Chicago, IL, 60607",Public district,K-8,550.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
91,Jahn Elementary School,6,Average,"3149 North Wolcott Avenue, Chicago, IL, 60657",Public district,PK-8,309.0,13:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
92,Kellogg Elementary School,6,Average,"9241 South Leavitt Street, Chicago, IL, 60643",Public district,K-8,256.0,14:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
93,Kipling Elementary School,6,Average,"9351 South Lowe Avenue, Chicago, IL, 60620",Public district,K-8,294.0,17:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
94,Wildwood Elementary School,6,Average,"6950 North Hiawatha Avenue, Chicago, IL, 60646",Public district,K-8,494.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
95,Kenwood Academy High School,6,Average,"5015 South Blackstone Avenue, Chicago, IL, 60615",Public district,7-12,1756.0,17:1,City Of Chicago School District 299,Chicago,IL,1,1,0,0
96,Lane Technical High School,6,Average,"2501 West Addison Street, Chicago, IL, 60618",Public district,7-12,4429.0,19:1,City Of Chicago School District 299,Chicago,IL,1,1,0,0
97,Mcdade Elementary Classical School,6,Average,"8801 South Indiana Avenue, Chicago, IL, 60619",Public district,K-6,195.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
98,Inter-American Elementary Magnet School,6,Average,"851 West Waveland Avenue, Chicago, IL, 60613",Public district,PK-8,711.0,17:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
99,Nettelhorst Elementary School,6,Average,"3252 North Broadway, Chicago, IL, 60657",Public district,PK-8,794.0,17:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
100,Norwood Park Elementary School,6,Average,"5900 North Nina Ave, Chicago, IL, 60631",Public district,PK-8,434.0,18:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
101,ITW David Speer Academy,6,Average,"5321 W. Grand Ave., Chicago, IL, 60639",Public charter,9-12,1014.0,24:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
102,INTRINSIC CHARTER HIGH SCHOOL,6,Average,"4540 West Belmont Avenue, Chicago, IL, 60641",Public charter,7-12,1010.0,16:1,City Of Chicago School District 299,Chicago,IL,1,1,0,0
103,Palmer Elementary School,6,Average,"5051 North Kenneth Avenue, Chicago, IL, 60630",Public district,PK-8,804.0,17:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
104,Plamondon Elementary School,6,Average,"2642 West 15th Place, Chicago, IL, 60608",Public district,K-8,139.0,13:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
105,Pulaski International School of Chicago,6,Average,"2230 West McLean Avenue, Chicago, IL, 60647",Public district,PK-8,927.0,18:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
106,Scammon Elementary School,6,Average,"4201 West Henderson St, Chicago, IL, 60641",Public district,PK-8,747.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
107,Tonti Elementary School,6,Average,"5815 South Homan Avenue, Chicago, IL, 60629",Public district,PK-5,1052.0,17:1,City Of Chicago School District 299,Chicago,IL,0,0,1,1
108,Waters Elementary School,6,Average,"4540 N. Campbell Ave, Chicago, IL, 60625",Public district,K-8,626.0,18:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
109,Warren Elementary School,6,Average,"9239 South Jeffery Avenue, Chicago, IL, 60617",Public district,PK-8,234.0,17:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
110,Lincoln Park High School,6,Average,"2001 North Orchard Street, Chicago, IL, 60614",Public district,9-12,2113.0,16:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
111,Orozco Elementary Fine Arts & Sciences,6,Average,"1940 West 18th St, Chicago, IL, 60608",Public district,PK-8,539.0,15:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
112,Albany Park Multicultural Elementary School,6,Average,"4929 North Sawyer Avenue, Chicago, IL, 60625",Public district,7-8,291.0,15:1,City Of Chicago School District 299,Chicago,IL,0,1,0,0
113,South Loop Elementary School,6,Average,"1212 South Plymouth Court, Chicago, IL, 60605",Public district,K-8,785.0,18:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
114,Galileo Elementary Math & Sci Schol Acd,6,Average,"820 South Carpenter Street, Chicago, IL, 60607",Public district,K-8,571.0,17:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
115,Chicago Military Academy High School,6,Average,"3519 South Giles Avenue, Chicago, IL, 60653",Public district,9-12,309.0,14:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
116,Chicago Academy Elementary School,6,Average,"3400 North Austin Avenue, Chicago, IL, 60634",Public district,PK-8,603.0,18:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
117,Talman Elementary School,6,Average,"5450 South Talman Avenue, Chicago, IL, 60632",Public district,PK-8,436.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
118,CICS Basil,6,Average,"1816 W. Garfield Blvd., Chicago, IL, 60609",Public charter,PK-8,736.0,13:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
119,Chicago Math & Sci Elementary Charter,6,Average,"7212 North Clark Street, Chicago, IL, 60626",Public charter,6-12,596.0,12:1,City Of Chicago School District 299,Chicago,IL,1,1,0,0
120,Bronzeville Scholastic High School,6,Average,"4934 South Wabash Avenue, Chicago, IL, 60615",Public district,9-12,321.0,15:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
121,Infinity Math  Science & Tech High School,6,Average,"3120 South Kostner Avenue, Chicago, IL, 60623",Public district,9-12,417.0,15:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
122,Audubon Elementary School,6,Average,"3500 North Hoyne Avenue, Chicago, IL, 60618",Public district,PK-8,572.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
123,Beaubien Elementary School,6,Average,"5025 North Laramie Avenue, Chicago, IL, 60630",Public district,PK-8,1096.0,19:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
124,Blaine Elementary School,6,Average,"1420 West Grace Street, Chicago, IL, 60613",Public district,PK-8,885.0,18:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
125,Bridge Elementary School,6,Average,"3800 North New England Avenue, Chicago, IL, 60634",Public district,PK-8,1115.0,18:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
126,Lasalle II Lang Acad Elementary School,6,Average,"1148 N Honore St, Chicago, IL, 60622",Public district,PK-8,590.0,15:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
127,Burroughs Elementary School,6,Average,"3542 South Washtenaw Avenue, Chicago, IL, 60632",Public district,PK-8,473.0,18:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
128,Chase Elementary School,5,Average,"2021 North Point Street, Chicago, IL, 60647",Public district,PK-8,415.0,13:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
129,Cleveland Elementary School,5,Average,"3121 West Byron Street, Chicago, IL, 60618",Public district,PK-8,558.0,14:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
130,Clinton Elementary School,5,Average,"6110 North Fairfield Avenue, Chicago, IL, 60659",Public district,PK-8,1223.0,18:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
131,Cooper Elementary Dual Language Academy,5,Average,"1624 West 19th Street, Chicago, IL, 60608",Public district,PK-5,457.0,14:1,City Of Chicago School District 299,Chicago,IL,0,0,1,1
132,Dawes Elementary School,5,Average,"3810 West 81st Place, Chicago, IL, 60652",Public district,PK-8,987.0,17:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
133,West Ridge Elementary School,5,Average,"6700 North Whipple Street, Chicago, IL, 60645",Public district,PK-8,837.0,18:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
134,Garcia Lorca Elementary School,5,Average,"3231 North Springfield Avenue, Chicago, IL, 60618",Public district,PK-8,828.0,18:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
135,Williams Medical Prep High School,5,Average,"4934 South Wabash Avenue, Chicago, IL, 60615",Public district,9-12,231.0,12:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
136,Catalyst Maria Charter School,5,Average,"6727 South California Ave, Chicago, IL, 60629",Public charter,K-12,1071.0,14:1,City Of Chicago School District 299,Chicago,IL,1,1,1,0
137,Dixon Elementary School,5,Average,"8306 South Saint Lawrence Avenue, Chicago, IL, 60619",Public district,PK-8,562.0,20:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
138,Gunsaulus Elementary Scholastic Academy,5,Average,"4420 South Sacramento Avenue, Chicago, IL, 60632",Public district,PK-8,814.0,18:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
139,Simeon Career Academy High School,5,Average,"8147 South Vincennes Avenue, Chicago, IL, 60620",Public district,9-12,1335.0,19:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
140,Rauner College Prep,5,Average,"1337 W. Ohio St. , Chicago, IL, 60642",Public charter,9-12,633.0,17:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
141,Butler College Prep,5,Average,"821 E. 103rd St., Chicago, IL, 60628",Public charter,9,647.0,17:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
142,Agassiz Elementary School,5,Average,"2851 North Seminary Avenue, Chicago, IL, 60657",Public district,PK-8,464.0,12:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
143,Franklin Elementary Fine Arts Center,5,Average,"225 West Evergreen Avenue, Chicago, IL, 60610",Public district,K-8,373.0,15:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
144,Goudy Elementary School,5,Average,"5120 North Winthrop Avenue, Chicago, IL, 60640",Public district,PK-8,717.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
145,Alcott College Prep,5,Average,"2625 North Orchard Street, Chicago, IL, 60614",Public district,PK-8,630.0,10:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
146,Hendricks Elementary Community Academy,5,Average,"4316 South Princeton Avenue, Chicago, IL, 60609",Public district,PK-8,241.0,13:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
147,Mcdowell Elementary School,5,Average,"1419 East 89th Street, Chicago, IL, 60619",Public district,PK-5,155.0,15:1,City Of Chicago School District 299,Chicago,IL,0,0,1,1
148,Henry Elementary School,5,Average,"4250 North Saint Louis Avenue, Chicago, IL, 60618",Public district,PK-6,524.0,17:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
149,Hurley Elementary School,5,Average,"3849 West 69th Place, Chicago, IL, 60629",Public district,PK-8,834.0,18:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
150,Jungman Elementary School,5,Average,"1746 South Miller Street, Chicago, IL, 60608",Public district,PK-8,282.0,12:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
151,Lozano Elementary Bilingual & Intl Center,5,Average,"1501 North Greenview Avenue, Chicago, IL, 60642",Public district,PK-8,203.0,12:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
152,Linne Elementary School,5,Average,"3221 North Sacramento Ave, Chicago, IL, 60618",Public district,PK-8,665.0,17:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
153,Lyon Elementary School,5,Average,"2941 North McVicker Avenue, Chicago, IL, 60634",Public district,K-8,1411.0,18:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
154,McPherson Elementary School,5,Average,"4728 North Wolcott Avenue, Chicago, IL, 60640",Public district,PK-8,692.0,13:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
